checkpoint	base	task	seed	comparison	target	off_score	forgetting_gap
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	base minus spectral_surgery_grad_direction	-11.827141774071265	2.677815172353796	-3.6940753349554236
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	base minus spectral_surgery_grad_direction	-0.9242144177449205	3.4139821311078435	-6.259510586392395
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	tulu	43	base minus spectral_surgery_grad_direction	-2.2181146025878107	-3.7757402340988975	-0.6823351023502653
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	tulu	44	base minus spectral_surgery_grad_direction	-0.9242144177449205	3.76003102638893	-7.960576194086428
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	base minus spectral_surgery_grad_direction	-2.439024390243887	3.6562254685372153	-3.9368217581141423
Qwen3-8B/magicoder/seed43	Qwen3-8B	magicoder	43	base minus spectral_surgery_grad_direction	1.2195121951219505	4.326955498160643	-4.353687538450541
Qwen3-8B/magicoder/seed44	Qwen3-8B	magicoder	44	base minus spectral_surgery_grad_direction	-0.6097560975609753	3.9509394324563942	-3.950939432456406
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base minus spectral_surgery_grad_direction	1.4404852160727728	-0.13409764182306105	-0.3080714725816402
Qwen3-8B/metamath/seed43	Qwen3-8B	metamath	43	base minus spectral_surgery_grad_direction	1.8195602729340408	0.7858043613561563	-1.1026704536916014
Qwen3-8B/metamath/seed44	Qwen3-8B	metamath	44	base minus spectral_surgery_grad_direction	1.3646702047005164	7.201941532493549	-7.3482560149076575
Qwen3-8B/tulu/seed42	Qwen3-8B	tulu	42	base minus spectral_surgery_grad_direction	1.6635859519408598	-7.272813265170285	0.0
Qwen3-8B/tulu/seed43	Qwen3-8B	tulu	43	base minus spectral_surgery_grad_direction	1.8484288354898268	-6.907734916419287	0.0
Qwen3-8B/tulu/seed44	Qwen3-8B	tulu	44	base minus spectral_surgery_grad_direction	2.587800369685766	-6.869297244441711	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	original_lora minus hns_f4_s1	-1.2195121951219505	-4.473055659825945	4.068708932507266
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	original_lora minus hns_f4_s1	0.6097560975609753	-5.085206036451346	3.2083854952993365
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	original_lora minus hns_f4_s1	0.0	-4.251323299516308	2.6461932313218357
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	original_lora minus hns_f4_s1	-3.5633055344958393	-5.4542171890363775	3.0151927987924854
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	original_lora minus hns_f4_s1	-3.335860500379084	-4.047989703179397	3.8948278541456056
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	original_lora minus hns_f4_s1	-4.548900682335102	-2.852604298926657	3.288448870376077
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	original_lora minus hns_f4_s1	-1.6635859519408527	-2.5893394683786966	1.5795513189429968
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	tulu	43	original_lora minus hns_f4_s1	-2.402957486136785	-0.119711557720251	0.0
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	tulu	44	original_lora minus hns_f4_s1	-2.7726432532347545	-0.511983906870995	1.0108668182966885
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	original_lora minus hns_f4_s1	-9.756097560975604	-3.5353319509949728	1.9004202758208966
Qwen3-8B/magicoder/seed43	Qwen3-8B	magicoder	43	original_lora minus hns_f4_s1	-11.585365853658537	-3.43196098036978	1.985624576956435
Qwen3-8B/magicoder/seed44	Qwen3-8B	magicoder	44	original_lora minus hns_f4_s1	-9.756097560975604	-2.704147822366906	1.1105054007101292
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	original_lora minus hns_f4_s1	-4.018195602729335	-3.6273311806650383	1.798836842342548
Qwen3-8B/metamath/seed43	Qwen3-8B	metamath	43	original_lora minus hns_f4_s1	-2.8051554207733176	-6.984823647586609	3.5232856949641636
Qwen3-8B/metamath/seed44	Qwen3-8B	metamath	44	original_lora minus hns_f4_s1	-3.4116755117513264	-10.74478477721189	9.522414078114908
Qwen3-8B/tulu/seed42	Qwen3-8B	tulu	42	original_lora minus hns_f4_s1	-2.9574861367837144	0.6553673074048021	0.0
Qwen3-8B/tulu/seed43	Qwen3-8B	tulu	43	original_lora minus hns_f4_s1	-6.284658040665434	0.17105228528308203	0.0
Qwen3-8B/tulu/seed44	Qwen3-8B	tulu	44	original_lora minus hns_f4_s1	-4.06654343807763	1.2619280456356137	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	original_lora minus spectral_surgery_grad_direction	-0.6097560975609753	0.9452398653011755	-0.9452398653011755
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	original_lora minus spectral_surgery_grad_direction	0.0	2.1923180662548063	-1.7374279980212872
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	original_lora minus spectral_surgery_grad_direction	-1.2195121951219505	2.6666820732556786	-1.630543584501571
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	original_lora minus spectral_surgery_grad_direction	0.5307050796057524	-0.27264584017877525	0.06939380765845193
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	original_lora minus spectral_surgery_grad_direction	0.5307050796057524	0.32476559187549014	-0.5280176243958179
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	original_lora minus spectral_surgery_grad_direction	0.2274450341167551	0.3440121700630172	-0.3440121700630172
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	original_lora minus spectral_surgery_grad_direction	0.18484288354898126	5.164592702970275	-4.35158457288897
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	tulu	43	original_lora minus spectral_surgery_grad_direction	-1.4787430683918785	1.7149103784506963	-0.6823351023502653
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	tulu	44	original_lora minus spectral_surgery_grad_direction	-0.9242144177449205	7.380852634192713	-6.94970937578974
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	original_lora minus spectral_surgery_grad_direction	-3.6585365853658374	2.084875197991593	-2.036401482293246
Qwen3-8B/magicoder/seed43	Qwen3-8B	magicoder	43	original_lora minus spectral_surgery_grad_direction	-2.439024390243908	2.717160152999753	-2.368062961494106
Qwen3-8B/magicoder/seed44	Qwen3-8B	magicoder	44	original_lora minus spectral_surgery_grad_direction	-2.439024390243901	3.134803847021402	-2.840434031746277
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	original_lora minus spectral_surgery_grad_direction	-0.15163002274449866	-1.7824260041836766	1.4907653697609078
Qwen3-8B/metamath/seed43	Qwen3-8B	metamath	43	original_lora minus spectral_surgery_grad_direction	0.07581501137225644	-2.489999301129359	2.420615241272562
Qwen3-8B/metamath/seed44	Qwen3-8B	metamath	44	original_lora minus spectral_surgery_grad_direction	-0.37907505686126797	-2.224945543295391	2.1741580632072504
Qwen3-8B/tulu/seed42	Qwen3-8B	tulu	42	original_lora minus spectral_surgery_grad_direction	-0.18484288354896705	0.4501758729957288	0.0
Qwen3-8B/tulu/seed43	Qwen3-8B	tulu	43	original_lora minus spectral_surgery_grad_direction	-1.6635859519408598	-0.07805447353358375	0.0
Qwen3-8B/tulu/seed44	Qwen3-8B	tulu	44	original_lora minus spectral_surgery_grad_direction	-0.18484288354898126	0.5734683941168157	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	hns_f4_s1 minus spectral_surgery_grad_direction	0.6097560975609753	5.418295525127121	-5.013948797808442
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	hns_f4_s1 minus spectral_surgery_grad_direction	-0.6097560975609753	7.277524102706153	-4.945813493320624
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	hns_f4_s1 minus spectral_surgery_grad_direction	-1.2195121951219505	6.918005372771987	-4.276736815823407
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	hns_f4_s1 minus spectral_surgery_grad_direction	4.094010614101592	5.181571348857602	-2.9457989911340334
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	hns_f4_s1 minus spectral_surgery_grad_direction	3.8665655799848366	4.372755295054887	-4.422845478541424
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	hns_f4_s1 minus spectral_surgery_grad_direction	4.776345716451857	3.1966164689896743	-3.632461040439094
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	hns_f4_s1 minus spectral_surgery_grad_direction	1.848428835489834	7.753932171348971	-5.931135891831967
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	tulu	43	hns_f4_s1 minus spectral_surgery_grad_direction	0.9242144177449063	1.8346219361709473	-0.6823351023502653
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	tulu	44	hns_f4_s1 minus spectral_surgery_grad_direction	1.848428835489834	7.8928365410637085	-7.960576194086428
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	hns_f4_s1 minus spectral_surgery_grad_direction	6.097560975609767	5.620207148986566	-3.9368217581141423
Qwen3-8B/magicoder/seed43	Qwen3-8B	magicoder	43	hns_f4_s1 minus spectral_surgery_grad_direction	9.146341463414629	6.149121133369533	-4.353687538450541
Qwen3-8B/magicoder/seed44	Qwen3-8B	magicoder	44	hns_f4_s1 minus spectral_surgery_grad_direction	7.317073170731703	5.838951669388308	-3.950939432456406
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	hns_f4_s1 minus spectral_surgery_grad_direction	3.8665655799848366	1.8449051764813618	-0.3080714725816402
Qwen3-8B/metamath/seed43	Qwen3-8B	metamath	43	hns_f4_s1 minus spectral_surgery_grad_direction	2.880970432145574	4.49482434645725	-1.1026704536916014
Qwen3-8B/metamath/seed44	Qwen3-8B	metamath	44	hns_f4_s1 minus spectral_surgery_grad_direction	3.0326004548900585	8.5198392339165	-7.3482560149076575
Qwen3-8B/tulu/seed42	Qwen3-8B	tulu	42	hns_f4_s1 minus spectral_surgery_grad_direction	2.7726432532347474	-0.20519143440907328	0.0
Qwen3-8B/tulu/seed43	Qwen3-8B	tulu	43	hns_f4_s1 minus spectral_surgery_grad_direction	4.621072088724574	-0.24910675881666577	0.0
Qwen3-8B/tulu/seed44	Qwen3-8B	tulu	44	hns_f4_s1 minus spectral_surgery_grad_direction	3.881700554528649	-0.688459651518798	0.0
