base	train_task	seed	method	eval_task	score	samples	metric	metrics_path	reused	metrics_sha256
Qwen3-8B	magicoder	42	hns_f4_s1	metamath	88.62774829416225	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/magicoder__seed42__hns_f4_s1/metrics.json	True	3daa7b6686c0be221cf4ebbc40932550db867da9a48b782e7521f910c7c06158
Qwen3-8B	magicoder	42	functional_hns_a05	metamath	87.79378316906747	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/magicoder__seed42__functional_hns_a05/metrics.json	False	c67ed7ce6dde22f2bfbcc5ae5f59df0861e712b1499a35f0372e5a159d7d8fbe
Qwen3-8B	magicoder	42	functional_hns_a10	metamath	86.65655799848369	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/magicoder__seed42__functional_hns_a10/metrics.json	False	5a862fd5abe3831e3264879e6f633320bb646eba6e7ca2f7bcea957e50863d32
Qwen3-8B	magicoder	42	functional_flat	metamath	86.27748294162244	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/magicoder__seed42__functional_flat/metrics.json	False	b8ea435a90e4dfa8a1f737aaaf227a685cb33356e44f7d98876ec602bc9b0cf3
Qwen3-8B	metamath	42	original_lora	metamath	84.1546626231994	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/metamath__seed42__original_lora/metrics.json	True	c5508dc203c3c40913fa89d9d4827b8e50ddcb1448812b2f013864bc07c31c31
Qwen3-8B	metamath	42	hns_f4_s1	metamath	88.17285822592874	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/metamath__seed42__hns_f4_s1/metrics.json	True	b1ab0c5b81a266c90d611c680384959e9eaf0d6ad6870770f57956d7a8a58cdd
Qwen3-8B	metamath	42	functional_hns_a05	metamath	88.24867323730099	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/metamath__seed42__functional_hns_a05/metrics.json	False	baf13c0aa9b21613c6fbc8a58d96a983e710441072f5ed1fcfcfefad1981839e
Qwen3-8B	metamath	42	functional_hns_a10	metamath	87.94541319181198	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/metamath__seed42__functional_hns_a10/metrics.json	False	34583a579f2f57fada684dda50d8353bd131b8f4823f35ec192a655a1febdbb7
Qwen3-8B	metamath	42	functional_flat	metamath	87.56633813495071	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/metamath__seed42__functional_flat/metrics.json	False	b6b9d6ade7ca87205fde4ee6f35d35b1742c1ba7a2575e4226000fc051eb667b
Qwen3-8B	tulu	42	original_lora	metamath	89.0068233510235	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/tulu__seed42__original_lora/metrics.json	True	69d8b8d541a8edb0d885d17538ff9b67eb99918f6d0673df54b19be464bc1d9f
Qwen3-8B	tulu	42	hns_f4_s1	metamath	88.70356330553449	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/tulu__seed42__hns_f4_s1/metrics.json	True	95b1fb37848e823ec7882fb967cc10e526bb2d1377bbb1bd989592dfcb646cd6
Qwen3-8B	tulu	42	functional_hns_a05	metamath	88.40030326004549	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/tulu__seed42__functional_hns_a05/metrics.json	False	73498ea7b53ae1fc01db2bc18351329f619449fdc3e503750b65efc87ec6b09c
Qwen3-8B	tulu	42	functional_hns_a10	metamath	89.0068233510235	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/tulu__seed42__functional_hns_a10/metrics.json	False	c3c02878eee7205fc25cf8d925efd576844ea334f8e701dd5cf5e0ff67234ada
Qwen3-8B	tulu	42	functional_flat	metamath	88.93100833965126	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/tulu__seed42__functional_flat/metrics.json	False	4e1fe51672bd75786b465a42c7637e60e7b3bee6975d24a7d313cf00c8909127
Qwen3-8B	base		base	tulu	69.68576709796673	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/base/metrics.json	True	33da0e76ec453d77c153d34fa1b6c386b14263c905f3c9b3b35e63df4e999f1a
Qwen3-8B	magicoder	42	original_lora	tulu	65.80406654343808	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/magicoder__seed42__original_lora/metrics.json	True	6c8df235c1afc3a14d60b70acb23a6f4db462e7c98c7ec93682c7e9abe9b8686
Qwen3-8B	magicoder	42	hns_f4_s1	tulu	71.71903881700554	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/magicoder__seed42__hns_f4_s1/metrics.json	True	4b756d9a0ea68edbaa5c65cf6cc4c57fa14462a5f510c3f0595ce40732baab66
Qwen3-8B	magicoder	42	functional_hns_a05	tulu	70.24029574861368	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/magicoder__seed42__functional_hns_a05/metrics.json	False	51e3836a0cfd8ff9c276582c70747b910d13d6a0a5b1cc30a7f6dcf7dcf1b2f2
Qwen3-8B	magicoder	42	functional_hns_a10	tulu	70.42513863216267	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/magicoder__seed42__functional_hns_a10/metrics.json	False	a20ba86e196e11cf9644b7656ecf18085621bfaafca277b8481f30d55b1f969c
Qwen3-8B	magicoder	42	functional_flat	tulu	70.60998151571165	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/magicoder__seed42__functional_flat/metrics.json	False	707f60adeff84b543626e56242ac11b41d5009fa9c3de23268dc15ccb2619f60
Qwen3-8B	metamath	42	original_lora	tulu	66.72828096118299	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/metamath__seed42__original_lora/metrics.json	True	52b4fe55e6089926c3c15e61da6bb08668c3711cb0622e6b5cca4a57f09624c6
Qwen3-8B	metamath	42	hns_f4_s1	tulu	72.45841035120148	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/metamath__seed42__hns_f4_s1/metrics.json	True	1f493a8c2acf384177920ed4277882f775a6844890fef9b8c4c255dae695cb1a
Qwen3-8B	metamath	42	functional_hns_a05	tulu	71.71903881700554	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/metamath__seed42__functional_hns_a05/metrics.json	False	03f4c99eecb7bf727b2bfd58138cf2ba1752a877c03c0461b21bb14154c78a4f
Qwen3-8B	metamath	42	functional_hns_a10	tulu	72.08872458410352	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/metamath__seed42__functional_hns_a10/metrics.json	False	f2ee05be24884bdf199570ddf04d6d79d4cf15b56a9cbfd9ccc0f8256c794bd4
Qwen3-8B	metamath	42	functional_flat	tulu	73.38262476894639	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/metamath__seed42__functional_flat/metrics.json	False	7f15fa1b6efffba25ef9619b6343648584f8491df4ec830ae4b0fcca1de056d2
Qwen3-8B	tulu	42	original_lora	tulu	67.8373382624769	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/tulu__seed42__original_lora/metrics.json	True	1b6ed10c8d02011bbed1412ef8f97706daca87a59a0669bf22156e1a518a0acf
Qwen3-8B	tulu	42	hns_f4_s1	tulu	70.79482439926062	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/tulu__seed42__hns_f4_s1/metrics.json	True	9a3b1625b785f208d4a485617c88edc12cff6e9468d0b0baea834de19c3e6811
Qwen3-8B	tulu	42	functional_hns_a05	tulu	72.08872458410352	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/tulu__seed42__functional_hns_a05/metrics.json	False	5e8f457efbdfb4700571ef14975b430ff32d7074f313e2c40835ded5a40a31aa
Qwen3-8B	tulu	42	functional_hns_a10	tulu	73.19778188539742	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/tulu__seed42__functional_hns_a10/metrics.json	False	8ba6bbb6f14a680e99a7698bcc62b46cb9a1f526c549d749cb1d4b2b87c08b59
Qwen3-8B	tulu	42	functional_flat	tulu	73.75231053604436	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/tulu__seed42__functional_flat/metrics.json	False	43df99df7583708cfdd30f8bc300ec512c323b427773ba00af753b9392150930
Qwen3-8B	base		base	commonsense	82.67503434198252	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/base/metrics.json	True	c48cbf42503649dcd50fb3d78824d099f89596d4839a1e29dff0724ff946dcad
Qwen3-8B	magicoder	42	original_lora	commonsense	83.66224435780832	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/magicoder__seed42__original_lora/metrics.json	True	c3f59f27d77f58564e186763d252c435684abe5bdd433249f7c6dee1441df947
Qwen3-8B	magicoder	42	hns_f4_s1	commonsense	83.65273723214618	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/magicoder__seed42__hns_f4_s1/metrics.json	True	e055c7cbe596abbcd698cae50d93c5e1ac46408b0f4039ebcc7a01ae21cd9d2c
Qwen3-8B	magicoder	42	functional_hns_a05	commonsense	83.18817650148263	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/magicoder__seed42__functional_hns_a05/metrics.json	False	28f534a04629a5b9955bf2227624e7bc6e1e6f538bc81b02003f4acef8863e15
Qwen3-8B	magicoder	42	functional_hns_a10	commonsense	82.97252290409003	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/magicoder__seed42__functional_hns_a10/metrics.json	False	a8ef8873b307cd488a718be86cf241d3f028bf7e60608f6f8578f54936835c60
Qwen3-8B	magicoder	42	functional_flat	commonsense	83.01393138188325	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/magicoder__seed42__functional_flat/metrics.json	False	f6932a81d5bb43767ebd601e3b42ac397a9f30029070c0d145023070bb72ce28
Qwen3-8B	metamath	42	original_lora	commonsense	83.12655978192834	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/metamath__seed42__original_lora/metrics.json	True	699a2ee8dfa25fc1edddb791cf452586577ccab5af49f07b31e0013c1df9b4e5
Qwen3-8B	metamath	42	hns_f4_s1	commonsense	84.61988734853911	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/metamath__seed42__hns_f4_s1/metrics.json	True	0677370c51735e7cd5384b1e6657ab4d8932f48752fa754ab4c3cf4c7bfdc625
Qwen3-8B	metamath	42	functional_hns_a05	commonsense	84.5145963817174	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/metamath__seed42__functional_hns_a05/metrics.json	False	9186fde0a8a875db2c2043fdf14dcbac4aef2c6770ab02e5d5e2ae48a3da7179
Qwen3-8B	metamath	42	functional_hns_a10	commonsense	84.34381460653924	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/metamath__seed42__functional_hns_a10/metrics.json	False	c33e2c7fc44ac274736be63bc46f748be7cf1d3125424164ea662488d1b8dc7e
Qwen3-8B	metamath	42	functional_flat	commonsense	84.21424725505648	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/metamath__seed42__functional_flat/metrics.json	False	1d93e47e57617c9b432196de1a44ee1f73fe0b8e904288c0e5c80973287905aa
Qwen3-8B	tulu	42	original_lora	commonsense	84.29127334064447	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/tulu__seed42__original_lora/metrics.json	True	d5cd8ab8640549dcb5db69df96358d05c2a3444b56193e6e9ac9448112c5d741
Qwen3-8B	tulu	42	hns_f4_s1	commonsense	84.457699756602	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/tulu__seed42__hns_f4_s1/metrics.json	True	86a2d338bb652e3cd475ee6c631b41c6230e7f4274bbcc3322d18fc100805454
Qwen3-8B	tulu	42	functional_hns_a05	commonsense	84.40823892854532	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/tulu__seed42__functional_hns_a05/metrics.json	False	66d9e96413691f28836b12c2cd0ddb73107e7272a5254a5de5c64202934f4b26
Qwen3-8B	tulu	42	functional_hns_a10	commonsense	84.21441063955695	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/tulu__seed42__functional_hns_a10/metrics.json	False	1d10ded64bd49acde943fe7aa71667723128fa79bee123a36ffee56bfd9e007f
Qwen3-8B	tulu	42	functional_flat	commonsense	84.3081677913908	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/tulu__seed42__functional_flat/metrics.json	False	599c3b0afb3f126b8f559fbb3d54eeee0f1b78d9bdc797ab0f855042bb27918a
Llama-3.1-8B-Instruct	base		base	magicoder	52.4390243902439	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Llama-3.1-8B-Instruct/magicoder/base/metrics.json	True	e3b96f5e9b4bd1862074f8b9fed696ce7deafe75b93910520ac1b77cb8ac6c00
Llama-3.1-8B-Instruct	magicoder	42	original_lora	magicoder	53.65853658536586	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Llama-3.1-8B-Instruct/magicoder/magicoder__seed42__original_lora/metrics.json	True	d4eaa03946dea75e5d0f1d4519f868cdedf1dad2b41937b89306fa01f376825e
Llama-3.1-8B-Instruct	magicoder	42	hns_f4_s1	magicoder	54.87804878048781	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Llama-3.1-8B-Instruct/magicoder/magicoder__seed42__hns_f4_s1/metrics.json	True	6b78d80778b093d0c570ac9a334967833719538fa2e08167a80d96653fbfbfb6
Llama-3.1-8B-Instruct	magicoder	42	functional_hns_a05	magicoder	54.268292682926834	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Llama-3.1-8B-Instruct/magicoder/magicoder__seed42__functional_hns_a05/metrics.json	False	22efe323ecd01b6af3d740fa41aeb9b577b88dd59f35082536d07846b8a8a2df
Llama-3.1-8B-Instruct	magicoder	42	functional_hns_a10	magicoder	54.87804878048781	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Llama-3.1-8B-Instruct/magicoder/magicoder__seed42__functional_hns_a10/metrics.json	False	dc8869d06a0141d837855186afbc50ee4db19d4c6b5f1d9f9ab624607f65db80
Llama-3.1-8B-Instruct	magicoder	42	functional_flat	magicoder	54.87804878048781	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Llama-3.1-8B-Instruct/magicoder/magicoder__seed42__functional_flat/metrics.json	False	117ede2cacc954e67a92ab41e8bd778c2c15208c41bb6b9cdd2b7c4d5b682c70
Llama-3.1-8B-Instruct	metamath	42	original_lora	magicoder	54.268292682926834	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Llama-3.1-8B-Instruct/magicoder/metamath__seed42__original_lora/metrics.json	True	994dff00ea5af47661dfd98b501b283278b5464b57c69034d90ef122026483b1
Llama-3.1-8B-Instruct	metamath	42	hns_f4_s1	magicoder	61.58536585365854	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Llama-3.1-8B-Instruct/magicoder/metamath__seed42__hns_f4_s1/metrics.json	True	4c2ff6d7b187be8d1a04e29286725b68fcc6152481880ab60d16f2f5b5c89365
Llama-3.1-8B-Instruct	metamath	42	functional_hns_a05	magicoder	60.36585365853659	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Llama-3.1-8B-Instruct/magicoder/metamath__seed42__functional_hns_a05/metrics.json	False	e13fb78cb9f4cb9c1847bff3daa9ed2433940b5373d25374bab821d204aa1656
Llama-3.1-8B-Instruct	metamath	42	functional_hns_a10	magicoder	58.536585365853654	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Llama-3.1-8B-Instruct/magicoder/metamath__seed42__functional_hns_a10/metrics.json	False	91b2cef410283033203a24cecf385a48a71dc9b14e23b8fd334539e574316aa7
Llama-3.1-8B-Instruct	metamath	42	functional_flat	magicoder	59.14634146341463	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Llama-3.1-8B-Instruct/magicoder/metamath__seed42__functional_flat/metrics.json	False	41f1c4410ff13c4109b9256e0c1494829955febbd8d0d19e52410e5cdc25f702
Llama-3.1-8B-Instruct	tulu	42	original_lora	magicoder	62.80487804878049	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Llama-3.1-8B-Instruct/magicoder/tulu__seed42__original_lora/metrics.json	True	a416d39a919aa79886834f556969aa601933f881fa41fbee1dfd576ef523d0d8
Llama-3.1-8B-Instruct	tulu	42	hns_f4_s1	magicoder	62.80487804878049	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Llama-3.1-8B-Instruct/magicoder/tulu__seed42__hns_f4_s1/metrics.json	True	e1b6cc228af72a5fa601052ac9a1787a7a033d74b5d97601d7573f8effde2ecc
