base_model	task	variant	category	endpoint	n	lora_score	variant_score	delta	bootstrap_ci_low	bootstrap_ci_high	lora_only_correct	variant_only_correct	mcnemar_exact_p	mcnemar_exact_p_holm	mcnemar_exact_p_bh_fdr
Qwen3-8B	tulu	scalar_shrink	all	prompt_strict	541	0.7430683918669131	0.6802218114602587	-0.06284658040665436	-0.09242144177449169	-0.033271719038817	53	19	7.555811484431396e-05	0.027578711918174594	0.0009350316711983853
Qwen3-8B	tulu	scalar_shrink	all	prompt_loose	541	0.7837338262476895	0.7245841035120147	-0.05914972273567476	-0.09242144177449169	-0.027726432532347505	55	23	0.00037779201420676267	0.13713850115705484	0.0044001658125258246
Qwen3-8B	tulu	scalar_shrink	all	instruction_strict	834	0.8141486810551559	0.7697841726618705	-0.04436450839328543	-0.06720765511926366	-0.021738474851838264	69	32	0.00029596019615458444	0.10772951140026873	0.003551522353855013
Qwen3-8B	tulu	scalar_shrink	all	instruction_loose	834	0.8513189448441247	0.8033573141486811	-0.04796163069544368	-0.07167650775892433	-0.025423728813559324	67	27	4.496432091968555e-05	0.016546870098444282	0.0006139955546274302
Qwen3-8B	tulu	scalar_shrink	change_case	strict	89	0.8314606741573034	0.8764044943820225	0.0449438202247191	0.0	0.10112359550561797	1	5	0.21875	1.0	0.6057692307692307
Qwen3-8B	tulu	scalar_shrink	change_case	loose	89	0.8764044943820225	0.9101123595505618	0.0337078651685393	-0.012195121951219513	0.08433734939759036	1	4	0.375	1.0	0.7654639175257731
Qwen3-8B	tulu	scalar_shrink	combination	strict	65	0.8153846153846154	0.8	-0.01538461538461533	-0.09523809523809523	0.06172839506172839	4	3	1.0	1.0	1.0
Qwen3-8B	tulu	scalar_shrink	combination	loose	65	0.8153846153846154	0.8	-0.01538461538461533	-0.09803921568627451	0.06557916307161338	4	3	1.0	1.0	1.0
Qwen3-8B	tulu	scalar_shrink	detectable_content	strict	53	0.7735849056603774	0.6981132075471698	-0.07547169811320764	-0.18421052631578946	0.02127659574468085	6	2	0.2890625	1.0	0.6471216037015375
Qwen3-8B	tulu	scalar_shrink	detectable_content	loose	53	0.8490566037735849	0.8113207547169812	-0.037735849056603765	-0.14493338008415146	0.06382978723404255	5	3	0.7265625	1.0	1.0
Qwen3-8B	tulu	scalar_shrink	detectable_format	strict	157	0.7834394904458599	0.7707006369426752	-0.01273885350318471	-0.05732484076433121	0.030303030303030304	7	5	0.7744140625	1.0	1.0
Qwen3-8B	tulu	scalar_shrink	detectable_format	loose	157	0.8089171974522293	0.7898089171974523	-0.019108280254777066	-0.06097560975609756	0.02069324712643673	7	4	0.548828125	1.0	0.9093553870292888
Qwen3-8B	tulu	scalar_shrink	keywords	strict	163	0.754601226993865	0.7239263803680982	-0.030674846625766805	-0.08108530405405405	0.019736842105263157	10	5	0.3017578125	1.0	0.6675759427374302
Qwen3-8B	tulu	scalar_shrink	keywords	loose	163	0.7975460122699386	0.7668711656441718	-0.030674846625766805	-0.08074876689806357	0.018404907975460124	10	5	0.3017578125	1.0	0.6675759427374302
Qwen3-8B	tulu	scalar_shrink	language	strict	31	1.0	0.0	-1.0	-1.0	-1.0	31	0	9.313225746154785e-10	3.650784492492676e-07	2.634312425340925e-08
Qwen3-8B	tulu	scalar_shrink	language	loose	31	1.0	0.0	-1.0	-1.0	-1.0	31	0	9.313225746154785e-10	3.650784492492676e-07	2.634312425340925e-08
Qwen3-8B	tulu	scalar_shrink	length_constraints	strict	143	0.7762237762237763	0.7692307692307693	-0.006993006993006978	-0.05714740673339399	0.041666666666666664	8	7	1.0	1.0	1.0
Qwen3-8B	tulu	scalar_shrink	length_constraints	loose	143	0.8461538461538461	0.8321678321678322	-0.013986013986013957	-0.05732484076433121	0.029856357311188336	7	5	0.7744140625	1.0	1.0
Qwen3-8B	tulu	scalar_shrink	punctuation	strict	66	0.9393939393939394	0.9696969696969697	0.030303030303030276	-0.02857142857142857	0.09210526315789473	1	3	0.625	1.0	0.9630350194552529
Qwen3-8B	tulu	scalar_shrink	punctuation	loose	66	0.9696969696969697	0.9696969696969697	0.0	-0.04411764705882353	0.04285714285714286	1	1	1.0	1.0	1.0
Qwen3-8B	tulu	scalar_shrink	startend	strict	67	0.9104477611940298	0.9253731343283582	0.014925373134328401	-0.03278688524590164	0.06850495984884253	1	2	1.0	1.0	1.0
Qwen3-8B	tulu	scalar_shrink	startend	loose	67	0.9104477611940298	0.9253731343283582	0.014925373134328401	-0.03278688524590164	0.06779661016949153	1	2	1.0	1.0	1.0
Qwen3-8B	tulu	shape_only	all	prompt_strict	541	0.7430683918669131	0.7060998151571165	-0.036968576709796586	-0.06839186691312385	-0.005545286506469501	47	27	0.026516832550684835	1.0	0.1721420604929704
Qwen3-8B	tulu	shape_only	all	prompt_loose	541	0.7837338262476895	0.7504621072088724	-0.033271719038817094	-0.06469500924214418	-0.0018484288354898336	48	30	0.053544392168502264	1.0	0.2676763577014043
Qwen3-8B	tulu	shape_only	all	instruction_strict	834	0.8141486810551559	0.7889688249400479	-0.02517985611510798	-0.04800936768149883	-0.0012254152883647356	60	39	0.0438752935870152	1.0	0.2312648388277806
Qwen3-8B	tulu	shape_only	all	instruction_loose	834	0.8513189448441247	0.8261390887290168	-0.02517985611510798	-0.04825193479592112	-0.0023864927832708284	56	35	0.03544959487951911	1.0	0.21099198086937862
Qwen3-8B	tulu	shape_only	change_case	strict	89	0.8314606741573034	0.8876404494382022	0.05617977528089879	-0.01000252525252525	0.125	3	8	0.2265625	1.0	0.6103316326530612
Qwen3-8B	tulu	shape_only	change_case	loose	89	0.8764044943820225	0.8876404494382022	0.011235955056179692	-0.047058823529411764	0.07042253521126761	3	4	1.0	1.0	1.0
Qwen3-8B	tulu	shape_only	combination	strict	65	0.8153846153846154	0.7846153846153846	-0.03076923076923077	-0.09303100775193798	0.02857142857142857	3	1	0.625	1.0	0.9630350194552529
Qwen3-8B	tulu	shape_only	combination	loose	65	0.8153846153846154	0.8	-0.01538461538461533	-0.07042253521126761	0.03508771929824561	2	1	1.0	1.0	1.0
Qwen3-8B	tulu	shape_only	detectable_content	strict	53	0.7735849056603774	0.7735849056603774	0.0	-0.10416666666666667	0.10638297872340426	4	4	1.0	1.0	1.0
Qwen3-8B	tulu	shape_only	detectable_content	loose	53	0.8490566037735849	0.8490566037735849	0.0	-0.10344827586206896	0.1064019756838903	4	4	1.0	1.0	1.0
Qwen3-8B	tulu	shape_only	detectable_format	strict	157	0.7834394904458599	0.802547770700637	0.019108280254777066	-0.01764705882352941	0.057692307692307696	3	6	0.5078125	1.0	0.8781386462882096
Qwen3-8B	tulu	shape_only	detectable_format	loose	157	0.8089171974522293	0.821656050955414	0.01273885350318471	-0.02127659574468085	0.04938271604938271	3	5	0.7265625	1.0	1.0
Qwen3-8B	tulu	shape_only	keywords	strict	163	0.754601226993865	0.7607361963190185	0.00613496932515345	-0.037267080745341616	0.05	6	7	1.0	1.0	1.0
Qwen3-8B	tulu	shape_only	keywords	loose	163	0.7975460122699386	0.8098159509202454	0.012269938650306789	-0.03225806451612903	0.056818181818181816	6	8	0.79052734375	1.0	1.0
Qwen3-8B	tulu	shape_only	language	strict	31	1.0	0.0	-1.0	-1.0	-1.0	31	0	9.313225746154785e-10	3.650784492492676e-07	2.634312425340925e-08
Qwen3-8B	tulu	shape_only	language	loose	31	1.0	0.0	-1.0	-1.0	-1.0	31	0	9.313225746154785e-10	3.650784492492676e-07	2.634312425340925e-08
Qwen3-8B	tulu	shape_only	length_constraints	strict	143	0.7762237762237763	0.7902097902097902	0.013986013986013957	-0.04081632653061224	0.0696239328819546	7	9	0.803619384765625	1.0	1.0
Qwen3-8B	tulu	shape_only	length_constraints	loose	143	0.8461538461538461	0.8741258741258742	0.027972027972028024	-0.01974010979435343	0.0763888888888889	4	8	0.3876953125	1.0	0.7714941896984925
Qwen3-8B	tulu	shape_only	punctuation	strict	66	0.9393939393939394	0.9242424242424242	-0.015151515151515249	-0.07142857142857142	0.034482758620689655	2	1	1.0	1.0	1.0
Qwen3-8B	tulu	shape_only	punctuation	loose	66	0.9696969696969697	0.9696969696969697	0.0	-0.06153846153846154	0.06153846153846154	2	2	1.0	1.0	1.0
Qwen3-8B	tulu	shape_only	startend	strict	67	0.9104477611940298	0.9402985074626866	0.029850746268656803	-0.025982570061517423	0.09259259259259259	1	3	0.625	1.0	0.9630350194552529
Qwen3-8B	tulu	shape_only	startend	loose	67	0.9104477611940298	0.9402985074626866	0.029850746268656803	-0.028169014084507043	0.09090909090909091	1	3	0.625	1.0	0.9630350194552529
Qwen3-8B	tulu	head_only	all	prompt_strict	541	0.7430683918669131	0.7153419593345656	-0.027726432532347522	-0.06284658040665435	0.0073937153419593345	52	37	0.13736797135565199	1.0	0.48139572262688657
Qwen3-8B	tulu	head_only	all	prompt_loose	541	0.7837338262476895	0.7634011090573013	-0.020332717190388205	-0.053604436229205174	0.012939001848428836	47	36	0.2722689459720479	1.0	0.6449723101973192
Qwen3-8B	tulu	head_only	all	instruction_strict	834	0.8141486810551559	0.7997601918465228	-0.014388489208633115	-0.03948896631823461	0.010441746864778272	65	53	0.3112309933213218	1.0	0.6809252671560411
Qwen3-8B	tulu	head_only	all	instruction_loose	834	0.8513189448441247	0.8345323741007195	-0.016786570743405282	-0.040244913882788114	0.00620347394540943	58	44	0.19778986306808324	1.0	0.5933695892042496
Qwen3-8B	tulu	head_only	change_case	strict	89	0.8314606741573034	0.8876404494382022	0.05617977528089879	-0.01	0.12383928571428529	2	7	0.1796875	1.0	0.5515988372093024
Qwen3-8B	tulu	head_only	change_case	loose	89	0.8764044943820225	0.898876404494382	0.022471910112359494	-0.030620134651798855	0.07608695652173914	2	4	0.6875	1.0	1.0
Qwen3-8B	tulu	head_only	combination	strict	65	0.8153846153846154	0.8307692307692308	0.015384615384615441	-0.06451612903225806	0.09722222222222222	3	4	1.0	1.0	1.0
Qwen3-8B	tulu	head_only	combination	loose	65	0.8153846153846154	0.8307692307692308	0.015384615384615441	-0.06350050658561296	0.09616935483870946	3	4	1.0	1.0	1.0
Qwen3-8B	tulu	head_only	detectable_content	strict	53	0.7735849056603774	0.7924528301886793	0.018867924528301883	-0.11320754716981132	0.15517241379310345	6	7	1.0	1.0	1.0
Qwen3-8B	tulu	head_only	detectable_content	loose	53	0.8490566037735849	0.8679245283018868	0.018867924528301883	-0.10204081632653061	0.14	5	6	1.0	1.0	1.0
Qwen3-8B	tulu	head_only	detectable_format	strict	157	0.7834394904458599	0.802547770700637	0.019108280254777066	-0.018292682926829267	0.05806451612903226	3	6	0.5078125	1.0	0.8781386462882096
Qwen3-8B	tulu	head_only	detectable_format	loose	157	0.8089171974522293	0.821656050955414	0.01273885350318471	-0.02098271446862996	0.04929794818292468	3	5	0.7265625	1.0	1.0
Qwen3-8B	tulu	head_only	keywords	strict	163	0.754601226993865	0.7730061349693251	0.018404907975460127	-0.03821656050955414	0.07609561063417324	9	12	0.6636238098144531	1.0	1.0
Qwen3-8B	tulu	head_only	keywords	loose	163	0.7975460122699386	0.8159509202453987	0.018404907975460127	-0.03797640341221794	0.07692307692307693	9	12	0.6636238098144531	1.0	1.0
Qwen3-8B	tulu	head_only	language	strict	31	1.0	0.0	-1.0	-1.0	-1.0	31	0	9.313225746154785e-10	3.650784492492676e-07	2.634312425340925e-08
Qwen3-8B	tulu	head_only	language	loose	31	1.0	0.0	-1.0	-1.0	-1.0	31	0	9.313225746154785e-10	3.650784492492676e-07	2.634312425340925e-08
Qwen3-8B	tulu	head_only	length_constraints	strict	143	0.7762237762237763	0.7832167832167832	0.006993006993006978	-0.05303030303030303	0.06623620309050757	10	11	1.0	1.0	1.0
Qwen3-8B	tulu	head_only	length_constraints	loose	143	0.8461538461538461	0.8811188811188811	0.034965034965035	-0.007751937984496124	0.08148148148148149	4	9	0.266845703125	1.0	0.6365716773343374
Qwen3-8B	tulu	head_only	punctuation	strict	66	0.9393939393939394	0.9696969696969697	0.030303030303030276	-0.027777777777777776	0.09375	1	3	0.625	1.0	0.9630350194552529
Qwen3-8B	tulu	head_only	punctuation	loose	66	0.9696969696969697	0.9696969696969697	0.0	-0.04285714285714286	0.04411764705882353	1	1	1.0	1.0	1.0
Qwen3-8B	tulu	head_only	startend	strict	67	0.9104477611940298	0.9552238805970149	0.04477611940298509	0.0	0.1	0	3	0.25	1.0	0.6339079807391234
Qwen3-8B	tulu	head_only	startend	loose	67	0.9104477611940298	0.9552238805970149	0.04477611940298509	0.0	0.1016949152542373	0	3	0.25	1.0	0.6339079807391234
Qwen3-8B	tulu	tail_only	all	prompt_strict	541	0.7430683918669131	0.6654343807763401	-0.077634011090573	-0.10536044362292052	-0.04990757855822551	53	11	1.0058579844832594e-07	3.812201761191553e-05	2.0964197992387933e-06
Qwen3-8B	tulu	tail_only	all	prompt_loose	541	0.7837338262476895	0.7060998151571165	-0.077634011090573	-0.10720887245841035	-0.04990757855822551	53	11	1.0058579844832594e-07	3.812201761191553e-05	2.0964197992387933e-06
Qwen3-8B	tulu	tail_only	all	instruction_strict	834	0.8141486810551559	0.7613908872901679	-0.052757793764988015	-0.07349443280707428	-0.032257102163369016	62	18	8.142666624995286e-07	0.0003053499984373232	1.4656799924991514e-05
Qwen3-8B	tulu	tail_only	all	instruction_loose	834	0.8513189448441247	0.7961630695443646	-0.05515587529976018	-0.07599517490952955	-0.03473053892215569	61	15	9.842847414734724e-08	3.7402820175991954e-05	2.0964197992387933e-06
Qwen3-8B	tulu	tail_only	change_case	strict	89	0.8314606741573034	0.8089887640449438	-0.022471910112359605	-0.08	0.028308625336927126	4	2	0.6875	1.0	1.0
Qwen3-8B	tulu	tail_only	change_case	loose	89	0.8764044943820225	0.8314606741573034	-0.0449438202247191	-0.10256410256410256	0.0	5	1	0.21875	1.0	0.6057692307692307
Qwen3-8B	tulu	tail_only	combination	strict	65	0.8153846153846154	0.8153846153846154	0.0	0.0	0.0	0	0	1.0	1.0	1.0
Qwen3-8B	tulu	tail_only	combination	loose	65	0.8153846153846154	0.8153846153846154	0.0	0.0	0.0	0	0	1.0	1.0	1.0
Qwen3-8B	tulu	tail_only	detectable_content	strict	53	0.7735849056603774	0.7169811320754716	-0.05660377358490576	-0.14035087719298245	0.02040816326530612	4	1	0.375	1.0	0.7654639175257731
Qwen3-8B	tulu	tail_only	detectable_content	loose	53	0.8490566037735849	0.8113207547169812	-0.037735849056603765	-0.1282051282051282	0.05263157894736842	4	2	0.6875	1.0	1.0
Qwen3-8B	tulu	tail_only	detectable_format	strict	157	0.7834394904458599	0.7770700636942676	-0.006369426751592355	-0.03424657534246575	0.02054794520547945	3	2	1.0	1.0	1.0
Qwen3-8B	tulu	tail_only	detectable_format	loose	157	0.8089171974522293	0.802547770700637	-0.006369426751592355	-0.03488575378110262	0.020689655172413793	3	2	1.0	1.0	1.0
Qwen3-8B	tulu	tail_only	keywords	strict	163	0.754601226993865	0.754601226993865	0.0	-0.0457516339869281	0.044588656015371986	7	7	1.0	1.0	1.0
Qwen3-8B	tulu	tail_only	keywords	loose	163	0.7975460122699386	0.803680981595092	0.00613496932515345	-0.03773584905660377	0.049079754601226995	6	7	1.0	1.0	1.0
Qwen3-8B	tulu	tail_only	language	strict	31	1.0	0.0	-1.0	-1.0	-1.0	31	0	9.313225746154785e-10	3.650784492492676e-07	2.634312425340925e-08
Qwen3-8B	tulu	tail_only	language	loose	31	1.0	0.0	-1.0	-1.0	-1.0	31	0	9.313225746154785e-10	3.650784492492676e-07	2.634312425340925e-08
Qwen3-8B	tulu	tail_only	length_constraints	strict	143	0.7762237762237763	0.7342657342657343	-0.04195804195804198	-0.09333812949640288	0.007246376811594203	10	4	0.1795654296875	1.0	0.5515988372093024
Qwen3-8B	tulu	tail_only	length_constraints	loose	143	0.8461538461538461	0.7972027972027972	-0.04895104895104896	-0.0945945945945946	-0.006848150218991723	9	2	0.0654296875	1.0	0.2978178879310345
Qwen3-8B	tulu	tail_only	punctuation	strict	66	0.9393939393939394	0.9696969696969697	0.030303030303030276	0.0	0.078125	0	2	0.5	1.0	0.8781386462882096
Qwen3-8B	tulu	tail_only	punctuation	loose	66	0.9696969696969697	0.9848484848484849	0.015151515151515138	0.0	0.049185387573365644	0	1	1.0	1.0	1.0
Qwen3-8B	tulu	tail_only	startend	strict	67	0.9104477611940298	0.8656716417910447	-0.04477611940298509	-0.10144927536231885	0.0	3	0	0.25	1.0	0.6339079807391234
Qwen3-8B	tulu	tail_only	startend	loose	67	0.9104477611940298	0.8656716417910447	-0.04477611940298509	-0.1	0.0	3	0	0.25	1.0	0.6339079807391234
Qwen3-8B	tulu	hns	all	prompt_strict	541	0.7430683918669131	0.7578558225508318	0.014787430683918745	-0.011090573012939002	0.04066543438077634	22	30	0.3317497633694906	1.0	0.7178847338487337
Qwen3-8B	tulu	hns	all	prompt_loose	541	0.7837338262476895	0.8077634011090573	0.02402957486136781	-0.0018484288354898336	0.04990757855822551	21	34	0.10478948242660335	1.0	0.4234350514381115
Qwen3-8B	tulu	hns	all	instruction_strict	834	0.8141486810551559	0.8321342925659473	0.017985611510791366	-0.0012315650568233585	0.037668217281147526	32	47	0.11466035574580126	1.0	0.45281249243785354
Qwen3-8B	tulu	hns	all	instruction_loose	834	0.8513189448441247	0.8669064748201439	0.015587529976019199	-0.0035588245238839904	0.03508874645630468	27	40	0.14207137942637568	1.0	0.48556753305288464
Qwen3-8B	tulu	hns	change_case	strict	89	0.8314606741573034	0.8764044943820225	0.0449438202247191	-0.013157894736842105	0.1111111111111111	2	6	0.2890625	1.0	0.6471216037015375
Qwen3-8B	tulu	hns	change_case	loose	89	0.8764044943820225	0.8876404494382022	0.011235955056179692	-0.037037037037037035	0.0625	2	3	1.0	1.0	1.0
Qwen3-8B	tulu	hns	combination	strict	65	0.8153846153846154	0.8307692307692308	0.015384615384615441	-0.06779661016949153	0.0958904109589041	3	4	1.0	1.0	1.0
Qwen3-8B	tulu	hns	combination	loose	65	0.8153846153846154	0.8461538461538461	0.03076923076923077	-0.04411764705882353	0.10714285714285714	2	4	0.6875	1.0	1.0
Qwen3-8B	tulu	hns	detectable_content	strict	53	0.7735849056603774	0.7735849056603774	0.0	-0.11627906976744186	0.11864406779661017	5	5	1.0	1.0	1.0
Qwen3-8B	tulu	hns	detectable_content	loose	53	0.8490566037735849	0.8490566037735849	0.0	-0.11864406779661017	0.12070271682340629	5	5	1.0	1.0	1.0
Qwen3-8B	tulu	hns	detectable_format	strict	157	0.7834394904458599	0.7961783439490446	0.01273885350318471	-0.026143790849673203	0.053574424736337445	4	6	0.75390625	1.0	1.0
Qwen3-8B	tulu	hns	detectable_format	loose	157	0.8089171974522293	0.8152866242038217	0.006369426751592355	-0.03067484662576687	0.044585987261146494	4	5	1.0	1.0	1.0
Qwen3-8B	tulu	hns	keywords	strict	163	0.754601226993865	0.803680981595092	0.049079754601227044	0.0	0.10135767451943914	4	12	0.076812744140625	1.0	0.3456573486328125
Qwen3-8B	tulu	hns	keywords	loose	163	0.7975460122699386	0.8404907975460123	0.042944785276073705	-0.006411290322580644	0.09615384615384616	5	12	0.143463134765625	1.0	0.48556753305288464
Qwen3-8B	tulu	hns	language	strict	31	1.0	1.0	0.0	0.0	0.0	0	0	1.0	1.0	1.0
Qwen3-8B	tulu	hns	language	loose	31	1.0	1.0	0.0	0.0	0.0	0	0	1.0	1.0	1.0
Qwen3-8B	tulu	hns	length_constraints	strict	143	0.7762237762237763	0.7482517482517482	-0.027972027972028024	-0.09271523178807947	0.03816793893129771	13	9	0.5234670639038086	1.0	0.8935041263185698
Qwen3-8B	tulu	hns	length_constraints	loose	143	0.8461538461538461	0.8461538461538461	0.0	-0.056338028169014086	0.055223244717109626	8	8	1.0	1.0	1.0
Qwen3-8B	tulu	hns	punctuation	strict	66	0.9393939393939394	0.9696969696969697	0.030303030303030276	-0.027777777777777776	0.09375	1	3	0.625	1.0	0.9630350194552529
Qwen3-8B	tulu	hns	punctuation	loose	66	0.9696969696969697	0.9696969696969697	0.0	-0.04477611940298507	0.04411764705882353	1	1	1.0	1.0	1.0
Qwen3-8B	tulu	hns	startend	strict	67	0.9104477611940298	0.9402985074626866	0.029850746268656803	0.0	0.07792207792207792	0	2	0.5	1.0	0.8781386462882096
Qwen3-8B	tulu	hns	startend	loose	67	0.9104477611940298	0.9402985074626866	0.029850746268656803	0.0	0.07575757575757576	0	2	0.5	1.0	0.8781386462882096
Qwen3-8B	tulu	head_fro_restore	all	prompt_strict	541	0.7430683918669131	0.6746765249537893	-0.06839186691312382	-0.09981515711645102	-0.038817005545286505	56	19	2.242964215897027e-05	0.00827653795666003	0.0003172192248197224
Qwen3-8B	tulu	head_fro_restore	all	prompt_loose	541	0.7837338262476895	0.7301293900184843	-0.05360443622920519	-0.08502772643253234	-0.022181146025878003	51	22	0.0009142745821630901	0.32822457499654933	0.009527703540436411
Qwen3-8B	tulu	head_fro_restore	all	instruction_strict	834	0.8141486810551559	0.7721822541966427	-0.04196642685851326	-0.06579107830551989	-0.01904648795385139	65	30	0.00042479272889474573	0.15377496785989794	0.0048062263040662655
Qwen3-8B	tulu	head_fro_restore	all	instruction_loose	834	0.8513189448441247	0.8165467625899281	-0.03477218225419665	-0.056626506024096385	-0.013236666030269375	57	28	0.0021949089077805926	0.781387571169891	0.02119960798734426
Qwen3-8B	tulu	head_fro_restore	change_case	strict	89	0.8314606741573034	0.8314606741573034	0.0	-0.07608695652173914	0.07692307692307693	7	7	1.0	1.0	1.0
Qwen3-8B	tulu	head_fro_restore	change_case	loose	89	0.8764044943820225	0.8651685393258427	-0.011235955056179803	-0.08791208791208792	0.06172839506172839	6	5	1.0	1.0	1.0
Qwen3-8B	tulu	head_fro_restore	combination	strict	65	0.8153846153846154	0.7692307692307693	-0.0461538461538461	-0.10526315789473684	0.0	3	0	0.25	1.0	0.6339079807391234
Qwen3-8B	tulu	head_fro_restore	combination	loose	65	0.8153846153846154	0.8	-0.01538461538461533	-0.05263157894736842	0.0	1	0	1.0	1.0	1.0
Qwen3-8B	tulu	head_fro_restore	detectable_content	strict	53	0.7735849056603774	0.7358490566037735	-0.037735849056603876	-0.13333333333333333	0.05172413793103448	4	2	0.6875	1.0	1.0
Qwen3-8B	tulu	head_fro_restore	detectable_content	loose	53	0.8490566037735849	0.8490566037735849	0.0	-0.09095117845117842	0.09302325581395349	3	3	1.0	1.0	1.0
Qwen3-8B	tulu	head_fro_restore	detectable_format	strict	157	0.7834394904458599	0.802547770700637	0.019108280254777066	-0.01775147928994083	0.057692307692307696	3	6	0.5078125	1.0	0.8781386462882096
Qwen3-8B	tulu	head_fro_restore	detectable_format	loose	157	0.8089171974522293	0.8280254777070064	0.019108280254777066	-0.013071895424836602	0.053691275167785234	2	5	0.453125	1.0	0.8570539202008929
Qwen3-8B	tulu	head_fro_restore	keywords	strict	163	0.754601226993865	0.7607361963190185	0.00613496932515345	-0.04294643446137608	0.056962025316455694	7	8	1.0	1.0	1.0
Qwen3-8B	tulu	head_fro_restore	keywords	loose	163	0.7975460122699386	0.803680981595092	0.00613496932515345	-0.043209876543209874	0.0552562922038059	7	8	1.0	1.0	1.0
Qwen3-8B	tulu	head_fro_restore	language	strict	31	1.0	0.0	-1.0	-1.0	-1.0	31	0	9.313225746154785e-10	3.650784492492676e-07	2.634312425340925e-08
Qwen3-8B	tulu	head_fro_restore	language	loose	31	1.0	0.0	-1.0	-1.0	-1.0	31	0	9.313225746154785e-10	3.650784492492676e-07	2.634312425340925e-08
Qwen3-8B	tulu	head_fro_restore	length_constraints	strict	143	0.7762237762237763	0.7552447552447552	-0.020979020979021046	-0.07086753783436645	0.027777777777777776	8	5	0.5810546875	1.0	0.9425319717854115
Qwen3-8B	tulu	head_fro_restore	length_constraints	loose	143	0.8461538461538461	0.8461538461538461	0.0	-0.04411764705882353	0.043209876543209874	5	5	1.0	1.0	1.0
