base	train_task	seed	method	eval_task	score	samples	metric	metrics_path	metrics_sha256	reused	origin	predictions_sha256	scored_sha256	actual_directory
Qwen3-8B	metamath	44	hns_f4_s1	magicoder	67.6829268292683	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/metamath__seed44__hns_f4_s1/metrics.json	a225851adf1d376bf83170e9c360a9faefa38603ca52c530443ed9405f6a3b15	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/metamath__seed44__hns_f4_s1
Qwen3-8B	tulu	44	original_lora	magicoder	84.14634146341463	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/tulu__seed44__original_lora/metrics.json	7702be52a1488fe4d78a5e77c57f0e12ac52765bc2e5d54a7b35e87686b4b3a3	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/tulu__seed44__original_lora
Qwen3-8B	tulu	44	hns_f4_s1	magicoder	80.48780487804879	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/tulu__seed44__hns_f4_s1/metrics.json	532daeefc8384a05c8816ea25480385242dbd5f2f6e4f2c7cf5133c4fc9348bf	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/magicoder/tulu__seed44__hns_f4_s1
Qwen3-8B	magicoder	43	original_lora	metamath	82.56254738438211	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/metamath/magicoder__seed43__original_lora/metrics.json	62bd5815c37e7d4eff0f303f1f70dbc074edad5cf4521769207956cb2cae2eef	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed43__original_lora
Qwen3-8B	magicoder	43	hns_f4_s1	metamath	88.77937831690674	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/metamath/magicoder__seed43__hns_f4_s1/metrics.json	0b9ccf53793bad517dceed4f232343bcdacfa62787ed3ac83837a7738f2c65d3	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed43__hns_f4_s1
Qwen3-8B	metamath	43	original_lora	metamath	84.00303260045489	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/metamath/metamath__seed43__original_lora/metrics.json	965d53c17d66125ca83d691992e265f9b8fda2a991f77ea456792291e7cec591	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed43__original_lora
Qwen3-8B	metamath	43	hns_f4_s1	metamath	86.8081880212282	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/metamath/metamath__seed43__hns_f4_s1/metrics.json	71e3e59bee22a359fe6f2cd3635b429ca5ae2117965f02c09d5ee408ae800e37	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed43__hns_f4_s1
Qwen3-8B	tulu	43	original_lora	metamath	89.15845337376801	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/metamath/tulu__seed43__original_lora/metrics.json	7dd3ebf7c25d5da5fac1a827196e0af58ea0d6cc259e4f618b52f1ad265a5372	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed43__original_lora
Qwen3-8B	tulu	43	hns_f4_s1	metamath	89.76497346474602	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/metamath/tulu__seed43__hns_f4_s1/metrics.json	fee27f5d6f34a8648b3f16f6d30cbd9c55e0edc13aae30ded7873acbeb899af9	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed43__hns_f4_s1
Qwen3-8B	magicoder	44	original_lora	metamath	84.07884761182714	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/metamath/magicoder__seed44__original_lora/metrics.json	9b9d641e83d3539f404197ec1d5d7f227fd0ed4c8e5d5300f362a539d47a48f8	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed44__original_lora
Qwen3-8B	magicoder	44	hns_f4_s1	metamath	89.31008339651251	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/metamath/magicoder__seed44__hns_f4_s1/metrics.json	c77e3df73d437bc2103af01efd496dddbc9c122b0b6f9e6deb274c6d0c0f7c26	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed44__hns_f4_s1
Qwen3-8B	metamath	44	original_lora	metamath	84.00303260045489	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/metamath/metamath__seed44__original_lora/metrics.json	bde8215d8d7b1d448bfa8c0d62287f98d263a4f678dd65ea1089de2bb49f49a2	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed44__original_lora
Qwen3-8B	metamath	44	hns_f4_s1	metamath	87.41470811220621	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/metamath/metamath__seed44__hns_f4_s1/metrics.json	2872dd1b5f68058e6ccb30da1817618b92f4eafe04d27cfdf8ffe305f570036d	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed44__hns_f4_s1
Qwen3-8B	tulu	44	original_lora	metamath	88.70356330553449	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/metamath/tulu__seed44__original_lora/metrics.json	f04d22b153b5545fc1c66d8f37564c6c548824fd7bc12550b452035021f1414b	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed44__original_lora
Qwen3-8B	tulu	44	hns_f4_s1	metamath	88.40030326004549	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/metamath/tulu__seed44__hns_f4_s1/metrics.json	73d63f3f75272f0576038bd116b23276ecdd063241f5b4fd53ef958db15252fa	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed44__hns_f4_s1
Qwen3-8B	magicoder	43	original_lora	tulu	66.91312384473198	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/tulu/magicoder__seed43__original_lora/metrics.json	92367a5bccd8dd97370cd31daaad15fb144679673fe21d3f02104a9c43710249	True	extension			/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed43__original_lora
