base	eval_task	method	train_task	seed	sample_input_sha256	samples
Qwen3-8B	tulu	hns_f4_s1	magicoder	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	tulu	original_lora	metamath	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	tulu	hns_f4_s1	metamath	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	tulu	original_lora	tulu	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	tulu	hns_f4_s1	tulu	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	base	base		2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	original_lora	magicoder	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	hns_f4_s1	magicoder	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	original_lora	metamath	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	hns_f4_s1	metamath	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	original_lora	tulu	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	hns_f4_s1	tulu	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	original_lora	magicoder	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	hns_f4_s1	magicoder	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	original_lora	metamath	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	hns_f4_s1	metamath	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	original_lora	tulu	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	hns_f4_s1	tulu	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	original_lora	magicoder	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	hns_f4_s1	magicoder	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	original_lora	metamath	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	hns_f4_s1	metamath	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	original_lora	tulu	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	magicoder	hns_f4_s1	tulu	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	original_lora	magicoder	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	hns_f4_s1	magicoder	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	original_lora	metamath	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	hns_f4_s1	metamath	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	original_lora	tulu	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	hns_f4_s1	tulu	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	original_lora	magicoder	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	hns_f4_s1	magicoder	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	original_lora	metamath	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	hns_f4_s1	metamath	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	original_lora	tulu	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	metamath	hns_f4_s1	tulu	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	original_lora	magicoder	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	tulu	hns_f4_s1	magicoder	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	tulu	original_lora	metamath	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	tulu	hns_f4_s1	metamath	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	tulu	original_lora	tulu	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	tulu	hns_f4_s1	tulu	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	tulu	original_lora	magicoder	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	tulu	hns_f4_s1	magicoder	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	tulu	original_lora	metamath	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	tulu	hns_f4_s1	metamath	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	tulu	original_lora	tulu	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	tulu	hns_f4_s1	tulu	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	original_lora	magicoder	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	hns_f4_s1	magicoder	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	original_lora	metamath	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	hns_f4_s1	metamath	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	original_lora	tulu	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	hns_f4_s1	tulu	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	original_lora	magicoder	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	hns_f4_s1	magicoder	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	original_lora	metamath	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	hns_f4_s1	metamath	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	original_lora	tulu	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	commonsense	hns_f4_s1	tulu	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	base	base		1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	original_lora	magicoder	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	hns_f4_s1	magicoder	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	original_lora	metamath	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	hns_f4_s1	metamath	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	original_lora	tulu	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	hns_f4_s1	tulu	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	original_lora	magicoder	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	hns_f4_s1	magicoder	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	original_lora	metamath	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	hns_f4_s1	metamath	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	original_lora	tulu	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	hns_f4_s1	tulu	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	original_lora	magicoder	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	hns_f4_s1	magicoder	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	original_lora	metamath	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	hns_f4_s1	metamath	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	original_lora	tulu	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	magicoder	hns_f4_s1	tulu	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	base	base		d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	original_lora	magicoder	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	hns_f4_s1	magicoder	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	original_lora	metamath	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	hns_f4_s1	metamath	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	original_lora	tulu	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	hns_f4_s1	tulu	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	original_lora	magicoder	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	hns_f4_s1	magicoder	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	original_lora	metamath	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	hns_f4_s1	metamath	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	original_lora	tulu	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	hns_f4_s1	tulu	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	original_lora	magicoder	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	hns_f4_s1	magicoder	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	original_lora	metamath	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	hns_f4_s1	metamath	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	original_lora	tulu	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	metamath	hns_f4_s1	tulu	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	base	base		8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	original_lora	magicoder	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	hns_f4_s1	magicoder	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	original_lora	metamath	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	hns_f4_s1	metamath	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	original_lora	tulu	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	hns_f4_s1	tulu	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	original_lora	magicoder	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	hns_f4_s1	magicoder	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	original_lora	metamath	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	hns_f4_s1	metamath	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	original_lora	tulu	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	hns_f4_s1	tulu	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	original_lora	magicoder	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	hns_f4_s1	magicoder	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	original_lora	metamath	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	hns_f4_s1	metamath	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	original_lora	tulu	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	tulu	hns_f4_s1	tulu	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	base	base		2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	original_lora	magicoder	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	hns_f4_s1	magicoder	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	original_lora	metamath	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	hns_f4_s1	metamath	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	original_lora	tulu	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	hns_f4_s1	tulu	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	original_lora	magicoder	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	hns_f4_s1	magicoder	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	original_lora	metamath	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	hns_f4_s1	metamath	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	original_lora	tulu	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	hns_f4_s1	tulu	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	original_lora	magicoder	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	hns_f4_s1	magicoder	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	original_lora	metamath	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	hns_f4_s1	metamath	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	original_lora	tulu	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	commonsense	hns_f4_s1	tulu	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	scalar_e	magicoder	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	scalar_e	magicoder	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	scalar_e	magicoder	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	scalar_e	magicoder	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	scalar_e	metamath	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	scalar_e	metamath	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	scalar_e	metamath	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	scalar_e	metamath	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	scalar_e	tulu	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	scalar_e	tulu	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	scalar_e	tulu	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	scalar_e	tulu	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	scalar_e	magicoder	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	scalar_e	magicoder	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	scalar_e	magicoder	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	scalar_e	magicoder	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	scalar_e	metamath	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	scalar_e	metamath	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	scalar_e	metamath	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	scalar_e	metamath	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	scalar_e	tulu	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	scalar_e	tulu	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	scalar_e	tulu	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	scalar_e	tulu	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	scalar_e	magicoder	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	scalar_e	magicoder	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	scalar_e	magicoder	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	scalar_e	magicoder	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	scalar_e	metamath	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	scalar_e	metamath	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	scalar_e	metamath	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	scalar_e	metamath	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	scalar_e	tulu	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	scalar_e	tulu	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	scalar_e	tulu	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	scalar_e	tulu	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
