cohort	holdout_checkpoint	training_checkpoints	train_arms	test_arms	source_checkpoint_overlap	outcome_baseline
A_all_versions	Qwen3-8B/magicoder/seed44	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed43"", ""Qwen3-8B/tulu/seed44""]"	119	7	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
A_all_versions	Qwen3-8B/metamath/seed42	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed43"", ""Qwen3-8B/tulu/seed44""]"	119	7	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
A_all_versions	Qwen3-8B/metamath/seed43	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed43"", ""Qwen3-8B/tulu/seed44""]"	119	7	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
A_all_versions	Qwen3-8B/metamath/seed44	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed43"", ""Qwen3-8B/tulu/seed44""]"	119	7	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
A_all_versions	Qwen3-8B/tulu/seed42	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed43"", ""Qwen3-8B/tulu/seed44""]"	119	7	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
A_all_versions	Qwen3-8B/tulu/seed43	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed44""]"	119	7	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
A_all_versions	Qwen3-8B/tulu/seed44	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed43""]"	119	7	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
B_edited_only	Llama-3.1-8B-Instruct/magicoder/seed42	"[""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed43"", ""Qwen3-8B/tulu/seed44""]"	102	6	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
B_edited_only	Llama-3.1-8B-Instruct/magicoder/seed43	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed43"", ""Qwen3-8B/tulu/seed44""]"	102	6	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
B_edited_only	Llama-3.1-8B-Instruct/magicoder/seed44	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed43"", ""Qwen3-8B/tulu/seed44""]"	102	6	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
B_edited_only	Llama-3.1-8B-Instruct/metamath/seed42	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed43"", ""Qwen3-8B/tulu/seed44""]"	102	6	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
B_edited_only	Llama-3.1-8B-Instruct/metamath/seed43	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed43"", ""Qwen3-8B/tulu/seed44""]"	102	6	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
B_edited_only	Llama-3.1-8B-Instruct/metamath/seed44	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed43"", ""Qwen3-8B/tulu/seed44""]"	102	6	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
B_edited_only	Llama-3.1-8B-Instruct/tulu/seed42	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed43"", ""Qwen3-8B/tulu/seed44""]"	102	6	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
B_edited_only	Llama-3.1-8B-Instruct/tulu/seed43	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed43"", ""Qwen3-8B/tulu/seed44""]"	102	6	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
B_edited_only	Llama-3.1-8B-Instruct/tulu/seed44	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed43"", ""Qwen3-8B/tulu/seed44""]"	102	6	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
B_edited_only	Qwen3-8B/magicoder/seed42	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed43"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed43"", ""Qwen3-8B/tulu/seed44""]"	102	6	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
B_edited_only	Qwen3-8B/magicoder/seed43	"[""Llama-3.1-8B-Instruct/magicoder/seed42"", ""Llama-3.1-8B-Instruct/magicoder/seed43"", ""Llama-3.1-8B-Instruct/magicoder/seed44"", ""Llama-3.1-8B-Instruct/metamath/seed42"", ""Llama-3.1-8B-Instruct/metamath/seed43"", ""Llama-3.1-8B-Instruct/metamath/seed44"", ""Llama-3.1-8B-Instruct/tulu/seed42"", ""Llama-3.1-8B-Instruct/tulu/seed43"", ""Llama-3.1-8B-Instruct/tulu/seed44"", ""Qwen3-8B/magicoder/seed42"", ""Qwen3-8B/magicoder/seed44"", ""Qwen3-8B/metamath/seed42"", ""Qwen3-8B/metamath/seed43"", ""Qwen3-8B/metamath/seed44"", ""Qwen3-8B/tulu/seed42"", ""Qwen3-8B/tulu/seed43"", ""Qwen3-8B/tulu/seed44""]"	102	6	0	within-heldout-checkpoint zero deviation, not deployable absolute prediction
