checkpoint	base	eval_task	method	directory	sample_input_sha256	metrics_sha256	predictions_sha256	scored_sha256
Qwen3-8B/magicoder/seed43	Qwen3-8B	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/metamath/magicoder__seed43__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	2657ef18e5f24c5ef74732c6f18ff0dbf9714b01c0ae556a6e2d0ac1e87bcf2f	d8fd024475a64bfca5818e85a883434322e85afa89dc07bf37e5e34ed10f98c0	5d19dfd72d701d84b26f5616c5277e2133a00de1113e0afdd1501413576904a0
Qwen3-8B/magicoder/seed43	Qwen3-8B	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/tulu/magicoder__seed43__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	8aa181169181674a34968ca07bf9dfa337f8d4aecd2c10ef4c5d5eada21bba77	ff96b9912dfe94b8f9039b605792892d2f41ef661dbd5f0c72002a98db68bfec	b6f4731fdab40b9e4682192cc6b47d20c52205cfef3d95906094f35a2768db0c
Qwen3-8B/magicoder/seed43	Qwen3-8B	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/commonsense/magicoder__seed43__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	944263de27e42c36221f1c6e76413ba37cd5e48101a05aa5f1d4034a1ddc5a5e	a8f2af096453b87671163d9ae80ccdf6facf3417a19341c9a9b96b5962dd4026	c55e7a61cfe449d123d3ef8069e280ef2f708d5558a2a43fd6b7d43894543d6b
Qwen3-8B/metamath/seed43	Qwen3-8B	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/magicoder/metamath__seed43__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	4c4b6521f53c3722c56c0ef7662316ef3052f25173b1b6a6986235c8b411b8f1	d96fe4718dbb240956e73fbc987ae29a8f491522d0659200a106d5c50e787392	8ca26e5123e73512fa5f6692b1bee59c05357fd5a2ac0ae6b48f16059dce3741
Qwen3-8B/metamath/seed43	Qwen3-8B	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/metamath/metamath__seed43__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	16ba3ffa0d88371c90f1b3097370b6d260c0e104bfc20e519f257a69b9bbb718	449f65c90f211369058c830b9720a28dac2352eccbf4b3e9e7aaf7ab24384313	eb7ad83b5e439cc56a57aed8321218b21f7cf7d086c586bda429a276c09edb4c
Qwen3-8B/metamath/seed43	Qwen3-8B	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/tulu/metamath__seed43__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	b99a35224a1d1455aebd0aa3e718fc1038e77077d5943bbe82d780ea04219136	57401d10a10ecf184ff49f4787d61d36994f18480ea1f8e8affc3486b7a3705a	388171d92afe042ef5d5c8273db638823ff2d42199a22a303f525e51a7a7ac60
Qwen3-8B/metamath/seed43	Qwen3-8B	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/commonsense/metamath__seed43__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	271efab34502235e04a8ea7e72b8f2ca6ab91fd3ca58cf131e8a4c42d1e757bc	706a08f0ed381010e0b3f48600b9deabba0c0ff58ebdcf73c5ef80c2fde4967b	71ce853a1dda086fcf16eda2710b555167f4e695954699d9b051873618502041
Qwen3-8B/tulu/seed43	Qwen3-8B	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/magicoder/tulu__seed43__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	12d965d852f8da205a2efa6c0f08707d9b3094062058bd3e75c56f0c84fd7959	8acb24cea610551a3a88b4675ee2b1c82ca65abaa4695f10351437883669a724	8ecc27cafac2dd19d4327a93b5edd9ee45c0c9fdf1d11b5302ea9ad4565ffe19
Qwen3-8B/tulu/seed43	Qwen3-8B	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/metamath/tulu__seed43__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	ac9240fcb2dd8a17145b86f2576a4b524287f4b16692b0a03494f90481b932ce	971c6746f8bd07c161162529e9b5171d740126e6d318489ca1afaffad8dce751	ec0946a10924997cc42c04b4718c9c38d7baeb9d06d01109db501aef0b95101c
Qwen3-8B/tulu/seed43	Qwen3-8B	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/tulu/tulu__seed43__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	6dba048270762e24970302b676ef9febba0018d146d5a9a7c606489a66f33554	a6052ab2ac9dfbf8685ccde71ae2fef3c5c24ce1e10fa8f004a0feab210cc591	683434a7c9cf7810b36771b0196a17b7ca723b1b278ba444230386cf2a214cc4
Qwen3-8B/tulu/seed43	Qwen3-8B	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/commonsense/tulu__seed43__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	9c111871278bfdc412ca8b044bdc866ff0867b0011cac57134f5a049718b3555	81dc9c9694c99eb03389c687ca55664ce1e775d6bca8858789a57ec5a554b5b3	7b2db9109d57e5ee50e48d689e003d4abe7ad237391feddf7659409ed5510850
Qwen3-8B/magicoder/seed44	Qwen3-8B	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/magicoder/magicoder__seed44__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	b896bc0464673dd38b24c858c370e8ab39930b7ec5885962a4660dcfc11e22dd	5a55d9f03b391ea192f94cb5969845bf127c9cf2e6436ef65e88923d8591f26e	0370da4b9158ba7b878a9635ee07487e8ab34c36812b00b2d92bd7516aa789b2
Qwen3-8B/magicoder/seed44	Qwen3-8B	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/metamath/magicoder__seed44__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	8353d63616aae3f26cc0a0b4d1be7fcc760845a822eb1cb7f0c779ae704963ae	eb4c2ddd007065e0e754ed409aeb519f0e45c02595dbd9d64ecc51ac5d9e9892	174902d3a98765f4650fb5c8eb596c74d115379078d77898e41e77219be0eb49
Qwen3-8B/magicoder/seed44	Qwen3-8B	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/tulu/magicoder__seed44__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	f0a7da3fc310817cac8aae8a67886a47fa2f849945eb9fe3443c9a4a8b91c19c	e37bcd6f545d2f17ca910dc035d478a1dda43f5ba1f1c2fee23f33d95c5b313d	f5b149ca8d51302ffb01fd22537d6d23d4c242b7675a1deae0ffdc289a5fbae8
Qwen3-8B/magicoder/seed44	Qwen3-8B	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/commonsense/magicoder__seed44__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	749218462d4a6e7ef80953e2b219c295a845e0a9a1413aea7125e2addadb6254	b3304854586ed5ed754a3a66a8baf31e3561a2185b63a7992ef632a62664c00c	635bf969f682ffb3f1bfb4dc85f83318de042c830c01e0f13a018c26654aed30
Qwen3-8B/metamath/seed44	Qwen3-8B	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/magicoder/metamath__seed44__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	f0640d11c0298b4f5d95a6bc4ed180633ec9131892eb7896250f1cac764bbaf5	e87105412694118c533a859f8ebb11ee741c81369c6ad3753b6f0c4447a4807b	e8e4154353e56d2dac277726029ed832011d9839df25cb32f165d533b04c2ce5
Qwen3-8B/metamath/seed44	Qwen3-8B	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/metamath/metamath__seed44__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	4e00cd1875283fb525ef9829853a6e7e26e37a00045693de342eceeeba711310	191b4b9215d1f8a68089aa41bd3059af52b1a1e09702659e0ee78d8a5de7b715	50fa2d3ee867d416a52fa4e25272c3f83feb9f32c552a04a589c6a747224b04e
Qwen3-8B/metamath/seed44	Qwen3-8B	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/tulu/metamath__seed44__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	24ff48002fcc4f8f01d9e3bd69a112e7b991657ae1e504251a2a94ba9da8c4bd	62ef317c6f2e3e43325de8ebb8059530a422ee454669b50a9892359657ee65e0	91530b827b0498c61ce31651b425960959d0e6e671ec301dff7f16a38b82f0a5
Qwen3-8B/metamath/seed44	Qwen3-8B	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/commonsense/metamath__seed44__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	f4eda5af87e4c67baa735d0ab453a9845a9f924de8e895adf3aecf7eb4bc05ed	318ae9a6347e1d4d3a21ea391ccd071491d5b73fd2c4f5ca9f2e0ae893ed00a7	215ca8deb9a64740aa6cb606a42d0ccf12fa1a3e4083030f1862574f2942ddad
Qwen3-8B/tulu/seed44	Qwen3-8B	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/magicoder/tulu__seed44__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	742806f914f6b6bd0c18fc28c5c3d49f240131aaa430ffff3d9a01491818dadb	53b676d9b5ce8ba1cc2071073d72d9e088289c891c9b607bfc39cc8f216033c5	8daa326112e67bb9e6884708adc477bd6df3d6b02f475a6f336f1f518331534d
Qwen3-8B/tulu/seed44	Qwen3-8B	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/metamath/tulu__seed44__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	5868b7896168638dda8d42fbc76cdb0a91a32976eb08ba770d46d253ddfcd7ac	7ddb95e8d66bc8fd32d789e5ea02f27923ba1206d842c4e48cfa5a52b278e9b9	1bc76f5f60f72113325cb94b7ed509167d136a2a4d04b0d8ac7cec2a9fda4621
Qwen3-8B/tulu/seed44	Qwen3-8B	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/tulu/tulu__seed44__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	a630a54a159adf605c2b1d324b0af1e665a04300ab98d6fd584b9117b2ef2151	907b1c2e218823addb93bedd25ee8bf4ef46c8be1a45efeec79a466a01cbb746	f843016d95a1c59fcfd827ea1e8cc53d2ac7e2990b604d10be984b07e257bd29
Qwen3-8B/tulu/seed44	Qwen3-8B	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Qwen3-8B/commonsense/tulu__seed44__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	c5844f57ff5340eb34d4f370c9828ad70518d2f87dea5672e282ae31fb914262	7239c3fa820047c7d42a31d9e32f01a500b29e5b4f04fee0edc1160d1ce5af5c	546d2d841096705611feead4794a84e92189574635b898911f3797ec6389d4a3
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/magicoder/magicoder__seed42__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	800925f7bdc9c71724b50366e2628f4cbdaa2cac8b3f72417478bd379ebcc680	ec9915f353b87a7eebc6744f6c06f55ad093303846354b4dfce0d012c48d6733	20dce345e40f80324de053af0111fa34a9617ce2df97e2642e4570c398f9ba07
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/metamath/magicoder__seed42__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	fb32fa54c3f11f599fda8cbf4443ac9655b7908fae16d3f87e6e8191c77fedfa	9b34847efa7cdf084d5189417056d1cb7ca7000cbee7bb9250d185231e4987d5	a7d29b9461ff4cdef3b3187c82fc39f112e3ea300992c77b91e3157727778996
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/tulu/magicoder__seed42__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	f3e338852905d67dceb5fa030418312eb64f944a2c8ef0e68f8a0b3bb8ff018b	23294e7413eedcdf31631cc96f2aee7c9fb79b5427e5c5e4b3f6111701a757ac	5acb7a6b46fc394db4f7e5582e5082bf490a7a9627b39c340c98027b49790b5c
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/commonsense/magicoder__seed42__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	d4adacadfe95e0f36074a9e705e1e112f9a3eb09420412b968b6f5bf26db7c7e	85d189d69abc1f4378f1208d30e61737023f54124842f2171a8c760f7df81099	c1b40597bea6938eafea04a989aeb43d3a2d872620cbc1ed24a50caa4a44333d
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/magicoder/metamath__seed42__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	90c6498f7b85f6a6a3e42f1f70b6646cd546eb7a032fb983d50b4e5eb3eca1f1	4e452df05a68a15c85f7e38428780ba07140638c80524cfeba765595c43e3f97	9739534569bef107a159f42bb9fc7840153b5632c2164d4ba26b55ec427ae577
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/metamath/metamath__seed42__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	a83568f7d4fca4c77db4a7292e91ae1a822be077a24e898b18a25073435baceb	6117f3eba77c83bea67c0e3e1ff20fd95b25c40491f84a317f2006e201ef20a5	c6ab11128c9cc6243e694d3e6e24bd85d1fe649226da3177a5bc339438e88959
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/tulu/metamath__seed42__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	98d8a7ec0e0d153bc473c511d4e241390d0ae85da4fd3cd69a2283a32e2053ac	42defc8b5ed1806b548c5fb2ba09cf919833186ca67b5ed21dd9e87f36ed414c	b1c37bc4a2337d5e59a16751f2e8c2adcf7a2d3c081fdd1bb82e70f1f77a8f52
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/commonsense/metamath__seed42__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	4e92e7c53ceea765fb4e9ea63bb98b4ac19bc5f6647ae71d434446281e2fc1f5	907ee4c69cee6c2ee77d88bc0b41b8cd8d1faccf1071e91403c6a11aa7c8993a	f8f386f3f59dcb9d99b726552a0eefc623bee0e0d2c862fe67a0206f14d6dedf
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/magicoder/tulu__seed42__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	7da849e7d0fbffbfaecbd741426a74e4b8b015bbd642916d69e3802b0f562308	8efe760689007930e531d6b37fc1cbf277df368425420099bb42cd7f0a8db487	fac156158652925097d622a80e059a89fed3bdd3a275546d873f2a5e5c154e84
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/metamath/tulu__seed42__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	22cf6fb5da04c6e1059c86a55777287aaaac1bb885fc0b973f4b80a48f7379cb	90777423b507cdc9b0c6dc28f9d69e2353d58240cf23e8f1e6bfa0fd22378311	8e5d2f239410a8567dedf6b2a8a61d660857a5f050d2026878f21a5b5431a33a
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/tulu/tulu__seed42__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	7be519fd71032f60dce14fd9e6d380c8e5d0fc5e220e6f42ba2d2fe61cdfb235	5aa48fb26da273b982e5e0336cb71e93e2e7491b534bb6b148b5df87e3637310	7f94c6d65fd9f1d0afac29834d0e7c120fd76d7347199c8ae6f1386e32b0e096
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/commonsense/tulu__seed42__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	ee92a9c90ce843acfe3d6cf13d603c7b7a7fb96e9f60a9e95daf4cf60dfc3c63	b48d54ef092fa8eefca0dcf1cb877f7dca319470a1fe2c8b4a76fc4df88d2c81	3f9c8178afff371b9905869345ca9e1f855b29067d381f17643084e783e4428d
