base	eval_task	comparison	left	right	metric	left_score	right_score	delta	ci95_low	ci95_high	bootstrap_draws
Llama-3.1-8B-Instruct	magicoder	original_hns_vs_base	original_hns	base	any_at_n	0.7865853658536586	0.7378048780487805	0.04878048780487805	0.0	0.0975609756097561	20000
Llama-3.1-8B-Instruct	magicoder	original_hns_vs_base	original_hns	base	pass_at_4	0.7182926829268294	0.6730836236933798	0.04520905923344947	0.0023519163763066207	0.08963414634146341	20000
Llama-3.1-8B-Instruct	magicoder	original_hns_vs_original_lora	original_hns	original_lora	expected_reward	0.5282012195121951	0.5144817073170732	0.013719512195121951	-0.006859756097560976	0.0350609756097561	20000
Llama-3.1-8B-Instruct	magicoder	original_hns_vs_original_lora	original_hns	original_lora	any_at_n	0.7865853658536586	0.7439024390243902	0.042682926829268296	0.0	0.08536585365853659	20000
Llama-3.1-8B-Instruct	magicoder	original_hns_vs_original_lora	original_hns	original_lora	pass_at_4	0.7182926829268294	0.676829268292683	0.041463414634146344	0.013763066202090592	0.06994773519163763	20000
Llama-3.1-8B-Instruct	magicoder	common_hns_vs_base	common_hns	base	expected_reward	0.5304878048780488	0.44740853658536583	0.08307926829268293	0.04344512195121951	0.125	20000
Llama-3.1-8B-Instruct	magicoder	common_hns_vs_base	common_hns	base	any_at_n	0.7865853658536586	0.7378048780487805	0.04878048780487805	0.0	0.0975609756097561	20000
Llama-3.1-8B-Instruct	magicoder	common_hns_vs_base	common_hns	base	pass_at_4	0.7189895470383276	0.6730836236933798	0.04590592334494773	0.0033101045296167267	0.09033101045296167	20000
Llama-3.1-8B-Instruct	magicoder	common_hns_vs_common_lora	common_hns	common_lora	expected_reward	0.5304878048780488	0.5160060975609756	0.014481707317073171	-0.006859756097560976	0.035823170731707314	20000
Llama-3.1-8B-Instruct	magicoder	common_hns_vs_common_lora	common_hns	common_lora	any_at_n	0.7865853658536586	0.7560975609756098	0.03048780487804878	-0.006097560975609756	0.06707317073170732	20000
Llama-3.1-8B-Instruct	magicoder	common_hns_vs_common_lora	common_hns	common_lora	pass_at_4	0.7189895470383276	0.6843205574912892	0.03466898954703833	0.008362369337979092	0.06106271777003483	20000
Llama-3.1-8B-Instruct	magicoder	common_hns_vs_calibrated_scalar	common_hns	calibrated_scalar_0p40	expected_reward	0.5304878048780488	0.524390243902439	0.006097560975609756	-0.011432926829268292	0.023628048780487805	20000
Llama-3.1-8B-Instruct	magicoder	common_hns_vs_calibrated_scalar	common_hns	calibrated_scalar_0p40	any_at_n	0.7865853658536586	0.7926829268292683	-0.006097560975609756	-0.042682926829268296	0.03048780487804878	20000
Llama-3.1-8B-Instruct	magicoder	common_hns_vs_calibrated_scalar	common_hns	calibrated_scalar_0p40	pass_at_4	0.7189895470383276	0.7249128919860627	-0.005923344947735191	-0.03101045296167247	0.01916376306620209	20000
Llama-3.1-8B-Instruct	magicoder	original_vs_common_hns	original_hns	common_hns	expected_reward	0.5282012195121951	0.5304878048780488	-0.0022865853658536584	-0.009146341463414634	0.004573170731707317	20000
Llama-3.1-8B-Instruct	magicoder	original_vs_common_hns	original_hns	common_hns	any_at_n	0.7865853658536586	0.7865853658536586	0.0	0.0	0.0	20000
Llama-3.1-8B-Instruct	magicoder	original_vs_common_hns	original_hns	common_hns	pass_at_4	0.7182926829268294	0.7189895470383276	-0.0006968641114982581	-0.00818815331010453	0.00662020905923345	20000
Llama-3.1-8B-Instruct	magicoder	original_vs_common_lora	original_lora	common_lora	expected_reward	0.5144817073170732	0.5160060975609756	-0.001524390243902439	-0.009908536585365854	0.007621951219512195	20000
Llama-3.1-8B-Instruct	magicoder	original_vs_common_lora	original_lora	common_lora	any_at_n	0.7439024390243902	0.7560975609756098	-0.012195121951219513	-0.036585365853658534	0.012195121951219513	20000
Llama-3.1-8B-Instruct	magicoder	original_vs_common_lora	original_lora	common_lora	pass_at_4	0.676829268292683	0.6843205574912892	-0.007491289198606272	-0.022996515679442508	0.006968641114982578	20000
Qwen3-8B	metamath	original_hns_vs_base	original_hns	base	expected_reward	0.8842873388931008	0.8615428354814253	0.022744503411675512	0.01535253980288097	0.030420773313115997	20000
Qwen3-8B	metamath	original_hns_vs_base	original_hns	base	any_at_n	0.9514783927217589	0.9499620924943138	0.001516300227445034	-0.006065200909780136	0.009097801364670205	20000
Qwen3-8B	metamath	original_hns_vs_base	original_hns	base	majority	0.9097801364670205	0.9006823351023503	0.009097801364670205	-0.000758150113722517	0.019711902956785442	20000
Qwen3-8B	metamath	original_hns_vs_original_lora	original_hns	original_lora	expected_reward	0.8842873388931008	0.8075246398786959	0.07676269901440486	0.06624336618650493	0.08766110689916604	20000
Qwen3-8B	metamath	original_hns_vs_original_lora	original_hns	original_lora	any_at_n	0.9514783927217589	0.9529946929492039	-0.001516300227445034	-0.011372251705837756	0.008339651250947688	20000
Qwen3-8B	metamath	original_hns_vs_original_lora	original_hns	original_lora	majority	0.9097801364670205	0.8976497346474602	0.012130401819560273	-0.001516300227445034	0.02577710386656558	20000
Qwen3-8B	metamath	common_hns_vs_base	common_hns	base	expected_reward	0.8866565579984838	0.8615428354814253	0.025113722517058377	0.017532221379833207	0.032884761182714176	20000
Qwen3-8B	metamath	common_hns_vs_base	common_hns	base	any_at_n	0.956027293404094	0.9499620924943138	0.006065200909780136	-0.000758150113722517	0.013646702047005308	20000
Qwen3-8B	metamath	common_hns_vs_base	common_hns	base	majority	0.9097801364670205	0.9006823351023503	0.009097801364670205	-0.001516300227445034	0.019711902956785442	20000
Qwen3-8B	metamath	common_hns_vs_common_lora	common_hns	common_lora	expected_reward	0.8866565579984838	0.8056292645943897	0.08102729340409401	0.07012888551933283	0.09202047005307051	20000
Qwen3-8B	metamath	common_hns_vs_common_lora	common_hns	common_lora	any_at_n	0.956027293404094	0.956027293404094	0.0	-0.009855951478392721	0.009855951478392721	20000
Qwen3-8B	metamath	common_hns_vs_common_lora	common_hns	common_lora	majority	0.9097801364670205	0.8961334344200151	0.013646702047005308	0.0	0.027293404094010616	20000
Qwen3-8B	metamath	common_hns_vs_calibrated_scalar	common_hns	calibrated_scalar_0p40	expected_reward	0.8866565579984838	0.8694086429112965	0.017247915087187263	0.009571645185746777	0.025113722517058377	20000
Qwen3-8B	metamath	common_hns_vs_calibrated_scalar	common_hns	calibrated_scalar_0p40	any_at_n	0.956027293404094	0.9529946929492039	0.003032600454890068	-0.00530705079605762	0.011372251705837756	20000
Qwen3-8B	metamath	common_hns_vs_calibrated_scalar	common_hns	calibrated_scalar_0p40	majority	0.9097801364670205	0.9044730856709629	0.00530705079605762	-0.00530705079605762	0.01592115238817286	20000
Qwen3-8B	metamath	original_vs_common_hns	original_hns	common_hns	expected_reward	0.8842873388931008	0.8866565579984838	-0.0023692191053828657	-0.005496588324488249	0.000758150113722517	20000
Qwen3-8B	metamath	original_vs_common_hns	original_hns	common_hns	any_at_n	0.9514783927217589	0.956027293404094	-0.004548900682335102	-0.009855951478392721	0.0	20000
Qwen3-8B	metamath	original_vs_common_hns	original_hns	common_hns	majority	0.9097801364670205	0.9097801364670205	0.0	-0.006823351023502654	0.006823351023502654	20000
Qwen3-8B	metamath	original_vs_common_lora	original_lora	common_lora	expected_reward	0.8075246398786959	0.8056292645943897	0.0018953752843062926	-0.002274450341167551	0.005970432145564822	20000
Qwen3-8B	metamath	original_vs_common_lora	original_lora	common_lora	any_at_n	0.9529946929492039	0.956027293404094	-0.003032600454890068	-0.009855951478392721	0.003032600454890068	20000
Qwen3-8B	metamath	original_vs_common_lora	original_lora	common_lora	majority	0.8976497346474602	0.8961334344200151	0.001516300227445034	-0.006823351023502654	0.01061410159211524	20000
Qwen3-8B	magicoder	original_hns_vs_base	original_hns	base	expected_reward	0.6714939024390244	0.6661585365853658	0.005335365853658537	-0.04954268292682927	0.06021341463414634	20000
Qwen3-8B	magicoder	original_hns_vs_base	original_hns	base	any_at_n	0.7926829268292683	0.7804878048780488	0.012195121951219513	-0.04878048780487805	0.07317073170731707	20000
Qwen3-8B	magicoder	original_hns_vs_base	original_hns	base	pass_at_4	0.7674216027874565	0.748780487804878	0.018641114982578397	-0.03832752613240418	0.07587108013937283	20000
Qwen3-8B	magicoder	original_hns_vs_original_lora	original_hns	original_lora	expected_reward	0.6714939024390244	0.5975609756097561	0.07393292682926829	0.025152439024390245	0.12347560975609756	20000
Qwen3-8B	magicoder	original_hns_vs_original_lora	original_hns	original_lora	any_at_n	0.7926829268292683	0.8475609756097561	-0.054878048780487805	-0.11585365853658537	0.006097560975609756	20000
Qwen3-8B	magicoder	original_hns_vs_original_lora	original_hns	original_lora	pass_at_4	0.7674216027874565	0.7823170731707317	-0.014895470383275263	-0.06594294425087108	0.037020905923344935	20000
Qwen3-8B	magicoder	common_hns_vs_base	common_hns	base	expected_reward	0.6775914634146342	0.6661585365853658	0.011432926829268292	-0.04573170731707317	0.06783536585365854	20000
Qwen3-8B	magicoder	common_hns_vs_base	common_hns	base	any_at_n	0.7987804878048781	0.7804878048780488	0.018292682926829267	-0.04878048780487805	0.08536585365853659	20000
Qwen3-8B	magicoder	common_hns_vs_base	common_hns	base	pass_at_4	0.7735191637630662	0.748780487804878	0.02473867595818816	-0.03614982578397213	0.08484538327526114	20000
Qwen3-8B	magicoder	common_hns_vs_common_lora	common_hns	common_lora	expected_reward	0.6775914634146342	0.5922256097560976	0.08536585365853659	0.039634146341463415	0.1326219512195122	20000
Qwen3-8B	magicoder	common_hns_vs_common_lora	common_hns	common_lora	any_at_n	0.7987804878048781	0.8353658536585366	-0.036585365853658534	-0.09146341463414634	0.018292682926829267	20000
Qwen3-8B	magicoder	common_hns_vs_common_lora	common_hns	common_lora	pass_at_4	0.7735191637630662	0.77595818815331	-0.0024390243902439085	-0.050871080139372825	0.0451219512195122	20000
Qwen3-8B	magicoder	common_hns_vs_calibrated_scalar	common_hns	calibrated_scalar_0p40	expected_reward	0.6775914634146342	0.6585365853658537	0.019054878048780487	-0.006859756097560976	0.04725609756097561	20000
Qwen3-8B	magicoder	common_hns_vs_calibrated_scalar	common_hns	calibrated_scalar_0p40	any_at_n	0.7987804878048781	0.7987804878048781	0.0	-0.042682926829268296	0.042682926829268296	20000
Qwen3-8B	magicoder	common_hns_vs_calibrated_scalar	common_hns	calibrated_scalar_0p40	pass_at_4	0.7735191637630662	0.761411149825784	0.012108013937282228	-0.02055749128919861	0.04555966898954686	20000
Qwen3-8B	magicoder	original_vs_common_hns	original_hns	common_hns	expected_reward	0.6714939024390244	0.6775914634146342	-0.006097560975609756	-0.01676829268292683	0.004573170731707317	20000
Qwen3-8B	magicoder	original_vs_common_hns	original_hns	common_hns	any_at_n	0.7926829268292683	0.7987804878048781	-0.006097560975609756	-0.036585365853658534	0.018292682926829267	20000
Qwen3-8B	magicoder	original_vs_common_hns	original_hns	common_hns	pass_at_4	0.7674216027874565	0.7735191637630662	-0.006097560975609756	-0.023170731707317073	0.009233449477351914	20000
Qwen3-8B	magicoder	original_vs_common_lora	original_lora	common_lora	expected_reward	0.5975609756097561	0.5922256097560976	0.005335365853658537	-0.0022865853658536584	0.013719512195121951	20000
Qwen3-8B	magicoder	original_vs_common_lora	original_lora	common_lora	any_at_n	0.8475609756097561	0.8353658536585366	0.012195121951219513	-0.012195121951219513	0.036585365853658534	20000
Qwen3-8B	magicoder	original_vs_common_lora	original_lora	common_lora	pass_at_4	0.7823170731707317	0.77595818815331	0.006358885017421602	-0.006186846689895471	0.01994773519163763	20000
