base	train_task	seed	method	eval_task	score	samples	metric	metrics_path	metrics_sha256	reused	origin
Qwen3-8B	metamath	42	functional_flat	magicoder	69.51219512195121	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/metamath__seed42__functional_flat/metrics.json	e34f32adb8c8e416eb5a8c82d7fd2fd91edfdff678eadc941c6a002d0288b632	False	seed42
Qwen3-8B	tulu	42	original_lora	magicoder	84.7560975609756	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/tulu__seed42__original_lora/metrics.json	e61d5ff2777744c707e5bf7fdcfae4fd6ba67f6c0552d8b00a685e90fd4bed2b	True	seed42
Qwen3-8B	tulu	42	hns_f4_s1	magicoder	82.92682926829268	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/tulu__seed42__hns_f4_s1/metrics.json	56914f9b2f3eb5c66b602efbf90e6a2ecac4471d18a38258b014a5edc4d59333	True	seed42
Qwen3-8B	tulu	42	functional_hns_a05	magicoder	83.53658536585365	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/tulu__seed42__functional_hns_a05/metrics.json	ea9fd2092e8dddd46e85bfe071e83af0d556785b28e2fc502ccd1f8980681f33	False	seed42
Qwen3-8B	tulu	42	functional_hns_a10	magicoder	81.70731707317073	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/tulu__seed42__functional_hns_a10/metrics.json	492b8b1e157a755e871ff706c74b7a1736b0bfcd13d3fe30bb03e538c0521a1d	False	seed42
Qwen3-8B	tulu	42	functional_flat	magicoder	81.09756097560977	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/magicoder/tulu__seed42__functional_flat/metrics.json	6ea82a3db92d90e2b2e63496ac5ef57e8595e0395f8901bb147dda4311977b9f	False	seed42
Qwen3-8B	base		base	metamath	85.74677786201667	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/base/metrics.json	5725cdb9b4678a5bce2a8f96e8187ce679f2cf50aa7babd19cf1f55f671fa9c0	True	seed42
Qwen3-8B	magicoder	42	original_lora	metamath	83.92721758908263	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/magicoder__seed42__original_lora/metrics.json	8f7bdbcb861c69c9e856959a079fdeaa31cf42fd25f950ba99079c86753ae736	True	seed42
Qwen3-8B	magicoder	42	hns_f4_s1	metamath	88.62774829416225	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/magicoder__seed42__hns_f4_s1/metrics.json	3daa7b6686c0be221cf4ebbc40932550db867da9a48b782e7521f910c7c06158	True	seed42
Qwen3-8B	magicoder	42	functional_hns_a05	metamath	87.79378316906747	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/magicoder__seed42__functional_hns_a05/metrics.json	c67ed7ce6dde22f2bfbcc5ae5f59df0861e712b1499a35f0372e5a159d7d8fbe	False	seed42
Qwen3-8B	magicoder	42	functional_hns_a10	metamath	86.65655799848369	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/magicoder__seed42__functional_hns_a10/metrics.json	5a862fd5abe3831e3264879e6f633320bb646eba6e7ca2f7bcea957e50863d32	False	seed42
Qwen3-8B	magicoder	42	functional_flat	metamath	86.27748294162244	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/magicoder__seed42__functional_flat/metrics.json	b8ea435a90e4dfa8a1f737aaaf227a685cb33356e44f7d98876ec602bc9b0cf3	False	seed42
Qwen3-8B	metamath	42	original_lora	metamath	84.1546626231994	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/metamath__seed42__original_lora/metrics.json	c5508dc203c3c40913fa89d9d4827b8e50ddcb1448812b2f013864bc07c31c31	True	seed42
Qwen3-8B	metamath	42	hns_f4_s1	metamath	88.17285822592874	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/metamath__seed42__hns_f4_s1/metrics.json	b1ab0c5b81a266c90d611c680384959e9eaf0d6ad6870770f57956d7a8a58cdd	True	seed42
Qwen3-8B	metamath	42	functional_hns_a05	metamath	88.24867323730099	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/metamath__seed42__functional_hns_a05/metrics.json	baf13c0aa9b21613c6fbc8a58d96a983e710441072f5ed1fcfcfefad1981839e	False	seed42
Qwen3-8B	metamath	42	functional_hns_a10	metamath	87.94541319181198	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/metamath__seed42__functional_hns_a10/metrics.json	34583a579f2f57fada684dda50d8353bd131b8f4823f35ec192a655a1febdbb7	False	seed42
Qwen3-8B	metamath	42	functional_flat	metamath	87.56633813495071	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/metamath__seed42__functional_flat/metrics.json	b6b9d6ade7ca87205fde4ee6f35d35b1742c1ba7a2575e4226000fc051eb667b	False	seed42
Qwen3-8B	tulu	42	original_lora	metamath	89.0068233510235	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/tulu__seed42__original_lora/metrics.json	69d8b8d541a8edb0d885d17538ff9b67eb99918f6d0673df54b19be464bc1d9f	True	seed42
Qwen3-8B	tulu	42	hns_f4_s1	metamath	88.70356330553449	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/tulu__seed42__hns_f4_s1/metrics.json	95b1fb37848e823ec7882fb967cc10e526bb2d1377bbb1bd989592dfcb646cd6	True	seed42
Qwen3-8B	tulu	42	functional_hns_a05	metamath	88.40030326004549	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/tulu__seed42__functional_hns_a05/metrics.json	73498ea7b53ae1fc01db2bc18351329f619449fdc3e503750b65efc87ec6b09c	False	seed42
Qwen3-8B	tulu	42	functional_hns_a10	metamath	89.0068233510235	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/tulu__seed42__functional_hns_a10/metrics.json	c3c02878eee7205fc25cf8d925efd576844ea334f8e701dd5cf5e0ff67234ada	False	seed42
Qwen3-8B	tulu	42	functional_flat	metamath	88.93100833965126	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/metamath/tulu__seed42__functional_flat/metrics.json	4e1fe51672bd75786b465a42c7637e60e7b3bee6975d24a7d313cf00c8909127	False	seed42
Qwen3-8B	base		base	tulu	69.68576709796673	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/base/metrics.json	33da0e76ec453d77c153d34fa1b6c386b14263c905f3c9b3b35e63df4e999f1a	True	seed42
Qwen3-8B	magicoder	42	original_lora	tulu	65.80406654343808	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/magicoder__seed42__original_lora/metrics.json	6c8df235c1afc3a14d60b70acb23a6f4db462e7c98c7ec93682c7e9abe9b8686	True	seed42
Qwen3-8B	magicoder	42	hns_f4_s1	tulu	71.71903881700554	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/magicoder__seed42__hns_f4_s1/metrics.json	4b756d9a0ea68edbaa5c65cf6cc4c57fa14462a5f510c3f0595ce40732baab66	True	seed42
Qwen3-8B	magicoder	42	functional_hns_a05	tulu	70.24029574861368	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/magicoder__seed42__functional_hns_a05/metrics.json	51e3836a0cfd8ff9c276582c70747b910d13d6a0a5b1cc30a7f6dcf7dcf1b2f2	False	seed42
Qwen3-8B	magicoder	42	functional_hns_a10	tulu	70.42513863216267	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/magicoder__seed42__functional_hns_a10/metrics.json	a20ba86e196e11cf9644b7656ecf18085621bfaafca277b8481f30d55b1f969c	False	seed42
Qwen3-8B	magicoder	42	functional_flat	tulu	70.60998151571165	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/magicoder__seed42__functional_flat/metrics.json	707f60adeff84b543626e56242ac11b41d5009fa9c3de23268dc15ccb2619f60	False	seed42
Qwen3-8B	metamath	42	original_lora	tulu	66.72828096118299	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/metamath__seed42__original_lora/metrics.json	52b4fe55e6089926c3c15e61da6bb08668c3711cb0622e6b5cca4a57f09624c6	True	seed42
Qwen3-8B	metamath	42	hns_f4_s1	tulu	72.45841035120148	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/metamath__seed42__hns_f4_s1/metrics.json	1f493a8c2acf384177920ed4277882f775a6844890fef9b8c4c255dae695cb1a	True	seed42
Qwen3-8B	metamath	42	functional_hns_a05	tulu	71.71903881700554	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/metamath__seed42__functional_hns_a05/metrics.json	03f4c99eecb7bf727b2bfd58138cf2ba1752a877c03c0461b21bb14154c78a4f	False	seed42
Qwen3-8B	metamath	42	functional_hns_a10	tulu	72.08872458410352	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/metamath__seed42__functional_hns_a10/metrics.json	f2ee05be24884bdf199570ddf04d6d79d4cf15b56a9cbfd9ccc0f8256c794bd4	False	seed42
Qwen3-8B	metamath	42	functional_flat	tulu	73.38262476894639	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/metamath__seed42__functional_flat/metrics.json	7f15fa1b6efffba25ef9619b6343648584f8491df4ec830ae4b0fcca1de056d2	False	seed42
Qwen3-8B	tulu	42	original_lora	tulu	67.8373382624769	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/tulu__seed42__original_lora/metrics.json	1b6ed10c8d02011bbed1412ef8f97706daca87a59a0669bf22156e1a518a0acf	True	seed42
Qwen3-8B	tulu	42	hns_f4_s1	tulu	70.79482439926062	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/tulu__seed42__hns_f4_s1/metrics.json	9a3b1625b785f208d4a485617c88edc12cff6e9468d0b0baea834de19c3e6811	True	seed42
Qwen3-8B	tulu	42	functional_hns_a05	tulu	72.08872458410352	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/tulu__seed42__functional_hns_a05/metrics.json	5e8f457efbdfb4700571ef14975b430ff32d7074f313e2c40835ded5a40a31aa	False	seed42
Qwen3-8B	tulu	42	functional_hns_a10	tulu	73.19778188539742	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/tulu__seed42__functional_hns_a10/metrics.json	8ba6bbb6f14a680e99a7698bcc62b46cb9a1f526c549d749cb1d4b2b87c08b59	False	seed42
Qwen3-8B	tulu	42	functional_flat	tulu	73.75231053604436	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/tulu/tulu__seed42__functional_flat/metrics.json	43df99df7583708cfdd30f8bc300ec512c323b427773ba00af753b9392150930	False	seed42
Qwen3-8B	base		base	commonsense	82.67503434198252	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/base/metrics.json	c48cbf42503649dcd50fb3d78824d099f89596d4839a1e29dff0724ff946dcad	True	seed42
Qwen3-8B	magicoder	42	original_lora	commonsense	83.66224435780832	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/magicoder__seed42__original_lora/metrics.json	c3f59f27d77f58564e186763d252c435684abe5bdd433249f7c6dee1441df947	True	seed42
Qwen3-8B	magicoder	42	hns_f4_s1	commonsense	83.65273723214618	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/magicoder__seed42__hns_f4_s1/metrics.json	e055c7cbe596abbcd698cae50d93c5e1ac46408b0f4039ebcc7a01ae21cd9d2c	True	seed42
Qwen3-8B	magicoder	42	functional_hns_a05	commonsense	83.18817650148263	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/magicoder__seed42__functional_hns_a05/metrics.json	28f534a04629a5b9955bf2227624e7bc6e1e6f538bc81b02003f4acef8863e15	False	seed42
Qwen3-8B	magicoder	42	functional_hns_a10	commonsense	82.97252290409003	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/magicoder__seed42__functional_hns_a10/metrics.json	a8ef8873b307cd488a718be86cf241d3f028bf7e60608f6f8578f54936835c60	False	seed42
Qwen3-8B	magicoder	42	functional_flat	commonsense	83.01393138188325	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/magicoder__seed42__functional_flat/metrics.json	f6932a81d5bb43767ebd601e3b42ac397a9f30029070c0d145023070bb72ce28	False	seed42
Qwen3-8B	metamath	42	original_lora	commonsense	83.12655978192834	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/metamath__seed42__original_lora/metrics.json	699a2ee8dfa25fc1edddb791cf452586577ccab5af49f07b31e0013c1df9b4e5	True	seed42
Qwen3-8B	metamath	42	hns_f4_s1	commonsense	84.61988734853911	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/metamath__seed42__hns_f4_s1/metrics.json	0677370c51735e7cd5384b1e6657ab4d8932f48752fa754ab4c3cf4c7bfdc625	True	seed42
Qwen3-8B	metamath	42	functional_hns_a05	commonsense	84.5145963817174	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/metamath__seed42__functional_hns_a05/metrics.json	9186fde0a8a875db2c2043fdf14dcbac4aef2c6770ab02e5d5e2ae48a3da7179	False	seed42
Qwen3-8B	metamath	42	functional_hns_a10	commonsense	84.34381460653924	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/metamath__seed42__functional_hns_a10/metrics.json	c33e2c7fc44ac274736be63bc46f748be7cf1d3125424164ea662488d1b8dc7e	False	seed42
Qwen3-8B	metamath	42	functional_flat	commonsense	84.21424725505648	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/metamath__seed42__functional_flat/metrics.json	1d93e47e57617c9b432196de1a44ee1f73fe0b8e904288c0e5c80973287905aa	False	seed42
Qwen3-8B	tulu	42	original_lora	commonsense	84.29127334064447	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/tulu__seed42__original_lora/metrics.json	d5cd8ab8640549dcb5db69df96358d05c2a3444b56193e6e9ac9448112c5d741	True	seed42
Qwen3-8B	tulu	42	hns_f4_s1	commonsense	84.457699756602	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/tulu__seed42__hns_f4_s1/metrics.json	86a2d338bb652e3cd475ee6c631b41c6230e7f4274bbcc3322d18fc100805454	True	seed42
Qwen3-8B	tulu	42	functional_hns_a05	commonsense	84.40823892854532	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/tulu__seed42__functional_hns_a05/metrics.json	66d9e96413691f28836b12c2cd0ddb73107e7272a5254a5de5c64202934f4b26	False	seed42
Qwen3-8B	tulu	42	functional_hns_a10	commonsense	84.21441063955695	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/tulu__seed42__functional_hns_a10/metrics.json	1d10ded64bd49acde943fe7aa71667723128fa79bee123a36ffee56bfd9e007f	False	seed42
Qwen3-8B	tulu	42	functional_flat	commonsense	84.3081677913908	22419	macro_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/eval/Qwen3-8B/commonsense/tulu__seed42__functional_flat/metrics.json	599c3b0afb3f126b8f559fbb3d54eeee0f1b78d9bdc797ab0f855042bb27918a	False	seed42
Qwen3-8B	magicoder	43	original_lora	magicoder	62.80487804878049	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/magicoder__seed43__original_lora/metrics.json	ba8701eb1ff08eda0ec09ba79cc613ea51be2b4bbc9561f928e2ada5f6dd2d7a	True	extension
Qwen3-8B	magicoder	43	hns_f4_s1	magicoder	74.39024390243902	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/magicoder__seed43__hns_f4_s1/metrics.json	6244e0c6c36b1a26aba178f077c5325d972bc072eb3399eec620c318d3f4282c	True	extension
Qwen3-8B	magicoder	43	functional_hns_a05	magicoder	73.78048780487805	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/magicoder__seed43__functional_hns_a05/metrics.json	69c421759ac2bdef6f4347b0fd2480f7276422915da04f33b8a38bd2617a9f9d	False	extension
Qwen3-8B	magicoder	43	functional_hns_a10	magicoder	68.90243902439023	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/magicoder__seed43__functional_hns_a10/metrics.json	871b9bf05a9af5ceb3348cf0e4e5e892a05687d3ac8741a0c6b3cf78885342c7	False	extension
Qwen3-8B	magicoder	43	functional_flat	magicoder	68.90243902439023	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/magicoder__seed43__functional_flat/metrics.json	fbf40b66eb820f47fbd1f080fe428b4e2527c08e1a465720daf0bfd1670e75c5	False	extension
Qwen3-8B	metamath	43	original_lora	magicoder	57.92682926829268	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/metamath__seed43__original_lora/metrics.json	3cd9d05e1ddb31c2b7194d420f538e83507675f628011bf3f697a480d0aacbf6	True	extension
Qwen3-8B	metamath	43	hns_f4_s1	magicoder	73.17073170731707	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/metamath__seed43__hns_f4_s1/metrics.json	049c74713a773c56172aa9eaf470b06fb88ec426b709002a15fd1afbbf606c13	True	extension
Qwen3-8B	metamath	43	functional_hns_a05	magicoder	75.60975609756098	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/metamath__seed43__functional_hns_a05/metrics.json	ca2ffcff45298b313279c88333e4ff7bf563a4e70c475379cf37910d887d6469	False	extension
Qwen3-8B	metamath	43	functional_hns_a10	magicoder	78.04878048780488	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/metamath__seed43__functional_hns_a10/metrics.json	092a86351a9757b89087f10ff213e6fc956d2eb7f349e9b7a54a07f688fc4a1b	False	extension
Qwen3-8B	metamath	43	functional_flat	magicoder	76.82926829268293	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/metamath__seed43__functional_flat/metrics.json	384403035bd1f9f7817b0c4b38f9dac6859b80c39e937c86d294bece0c00ae4c	False	extension
Qwen3-8B	tulu	43	original_lora	magicoder	81.70731707317073	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/tulu__seed43__original_lora/metrics.json	416bce4ab037c3c5dbec5ea9d35c17cced82516c79fe47eb9e1d15089267dbd9	True	extension
Qwen3-8B	tulu	43	hns_f4_s1	magicoder	80.48780487804879	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/tulu__seed43__hns_f4_s1/metrics.json	8e9ba4860b5cf313fc8c594e9800b1a65589d359d9ada43d187d8799b514f4ba	True	extension
Qwen3-8B	tulu	43	functional_hns_a05	magicoder	79.8780487804878	164	pass_at_1	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/eval/Qwen3-8B/magicoder/tulu__seed43__functional_hns_a05/metrics.json	e8a1e01e02a81b907fc0b853f03ad77c661e269de5e7d8d64ab44bfc77fb3bc4	False	extension
