base	train_task	seed	method	subtask	score	samples
Qwen3-8B	metamath	42	flat_nuclear	arc_challenge	91.29692832764505	1172
Qwen3-8B	metamath	42	flat_nuclear	arc_easy	96.71717171717171	2376
Qwen3-8B	metamath	42	flat_nuclear	boolq	87.98165137614679	3270
Qwen3-8B	metamath	42	flat_nuclear	hellaswag	84.69428400716988	10042
Qwen3-8B	metamath	42	flat_nuclear	openbookqa	85.8	500
Qwen3-8B	metamath	42	flat_nuclear	piqa	87.43199129488575	1838
Qwen3-8B	metamath	42	flat_nuclear	siqa	75.5885363357216	1954
Qwen3-8B	metamath	42	flat_nuclear	winogrande	67.79794790844514	1267
Qwen3-8B	metamath	42	dg_hard	arc_challenge	88.13993174061433	1172
Qwen3-8B	metamath	42	dg_hard	arc_easy	96.08585858585859	2376
Qwen3-8B	metamath	42	dg_hard	boolq	88.53211009174312	3270
Qwen3-8B	metamath	42	dg_hard	hellaswag	83.09101772555267	10042
Qwen3-8B	metamath	42	dg_hard	openbookqa	84.39999999999999	500
Qwen3-8B	metamath	42	dg_hard	piqa	85.41893362350382	1838
Qwen3-8B	metamath	42	dg_hard	siqa	74.30910951893551	1954
Qwen3-8B	metamath	42	dg_hard	winogrande	65.03551696921863	1267
Qwen3-8B	metamath	42	hns_f4_s1	arc_challenge	91.21160409556313	1172
Qwen3-8B	metamath	42	hns_f4_s1	arc_easy	96.63299663299664	2376
Qwen3-8B	metamath	42	hns_f4_s1	boolq	88.1039755351682	3270
Qwen3-8B	metamath	42	hns_f4_s1	hellaswag	84.68432583150766	10042
Qwen3-8B	metamath	42	hns_f4_s1	openbookqa	85.8	500
Qwen3-8B	metamath	42	hns_f4_s1	piqa	87.43199129488575	1838
Qwen3-8B	metamath	42	hns_f4_s1	siqa	75.69089048106449	1954
Qwen3-8B	metamath	42	hns_f4_s1	winogrande	67.40331491712708	1267
Qwen3-8B	tulu	42	original_lora	arc_challenge	89.50511945392492	1172
Qwen3-8B	tulu	42	original_lora	arc_easy	96.84343434343434	2376
Qwen3-8B	tulu	42	original_lora	boolq	87.33944954128441	3270
Qwen3-8B	tulu	42	original_lora	hellaswag	83.78809002190799	10042
Qwen3-8B	tulu	42	original_lora	openbookqa	86.4	500
Qwen3-8B	tulu	42	original_lora	piqa	86.07181719260065	1838
Qwen3-8B	tulu	42	original_lora	siqa	76.66325486182191	1954
Qwen3-8B	tulu	42	original_lora	winogrande	67.71902131018153	1267
Qwen3-8B	tulu	42	flat_fro	arc_challenge	90.52901023890784	1172
Qwen3-8B	tulu	42	flat_fro	arc_easy	96.88552188552188	2376
Qwen3-8B	tulu	42	flat_fro	boolq	87.12538226299694	3270
Qwen3-8B	tulu	42	flat_fro	hellaswag	84.47520414260109	10042
Qwen3-8B	tulu	42	flat_fro	openbookqa	85.8	500
Qwen3-8B	tulu	42	flat_fro	piqa	87.10554951033733	1838
Qwen3-8B	tulu	42	flat_fro	siqa	76.10030706243603	1954
Qwen3-8B	tulu	42	flat_fro	winogrande	68.35043409629044	1267
Qwen3-8B	tulu	42	flat_nuclear	arc_challenge	90.61433447098976	1172
Qwen3-8B	tulu	42	flat_nuclear	arc_easy	96.88552188552188	2376
Qwen3-8B	tulu	42	flat_nuclear	boolq	87.21712538226299	3270
Qwen3-8B	tulu	42	flat_nuclear	hellaswag	84.51503684524995	10042
Qwen3-8B	tulu	42	flat_nuclear	openbookqa	86.0	500
Qwen3-8B	tulu	42	flat_nuclear	piqa	87.05114254624591	1838
Qwen3-8B	tulu	42	flat_nuclear	siqa	75.9467758444217	1954
Qwen3-8B	tulu	42	flat_nuclear	winogrande	67.71902131018153	1267
Qwen3-8B	tulu	42	dg_hard	arc_challenge	89.50511945392492	1172
Qwen3-8B	tulu	42	dg_hard	arc_easy	96.84343434343434	2376
Qwen3-8B	tulu	42	dg_hard	boolq	87.33944954128441	3270
Qwen3-8B	tulu	42	dg_hard	hellaswag	83.78809002190799	10042
Qwen3-8B	tulu	42	dg_hard	openbookqa	86.4	500
Qwen3-8B	tulu	42	dg_hard	piqa	86.07181719260065	1838
Qwen3-8B	tulu	42	dg_hard	siqa	76.66325486182191	1954
Qwen3-8B	tulu	42	dg_hard	winogrande	67.71902131018153	1267
Qwen3-8B	tulu	42	hns_f4_s1	arc_challenge	90.27303754266211	1172
Qwen3-8B	tulu	42	hns_f4_s1	arc_easy	96.84343434343434	2376
Qwen3-8B	tulu	42	hns_f4_s1	boolq	87.18654434250764	3270
Qwen3-8B	tulu	42	hns_f4_s1	hellaswag	84.50507866958773	10042
Qwen3-8B	tulu	42	hns_f4_s1	openbookqa	86.0	500
Qwen3-8B	tulu	42	hns_f4_s1	piqa	87.15995647442872	1838
Qwen3-8B	tulu	42	hns_f4_s1	siqa	75.89559877175026	1954
Qwen3-8B	tulu	42	hns_f4_s1	winogrande	67.79794790844514	1267
Qwen3-8B	magicoder	43	original_lora	arc_challenge	90.52901023890784	1172
Qwen3-8B	magicoder	43	original_lora	arc_easy	96.88552188552188	2376
Qwen3-8B	magicoder	43	original_lora	boolq	87.33944954128441	3270
Qwen3-8B	magicoder	43	original_lora	hellaswag	84.26608245369448	10042
Qwen3-8B	magicoder	43	original_lora	openbookqa	84.0	500
Qwen3-8B	magicoder	43	original_lora	piqa	87.48639825897715	1838
Qwen3-8B	magicoder	43	original_lora	siqa	75.5885363357216	1954
Qwen3-8B	magicoder	43	original_lora	winogrande	64.32517758484609	1267
Qwen3-8B	magicoder	43	flat_fro	arc_challenge	90.27303754266211	1172
Qwen3-8B	magicoder	43	flat_fro	arc_easy	96.21212121212122	2376
Qwen3-8B	magicoder	43	flat_fro	boolq	87.18654434250764	3270
Qwen3-8B	magicoder	43	flat_fro	hellaswag	84.75403306114319	10042
Qwen3-8B	magicoder	43	flat_fro	openbookqa	85.0	500
Qwen3-8B	magicoder	43	flat_fro	piqa	87.15995647442872	1838
Qwen3-8B	magicoder	43	flat_fro	siqa	75.38382804503583	1954
Qwen3-8B	magicoder	43	flat_fro	winogrande	65.03551696921863	1267
Qwen3-8B	magicoder	43	flat_nuclear	arc_challenge	88.13993174061433	1172
Qwen3-8B	magicoder	43	flat_nuclear	arc_easy	95.83333333333334	2376
Qwen3-8B	magicoder	43	flat_nuclear	boolq	87.2782874617737	3270
Qwen3-8B	magicoder	43	flat_nuclear	hellaswag	84.60466042620992	10042
Qwen3-8B	magicoder	43	flat_nuclear	openbookqa	84.2	500
Qwen3-8B	magicoder	43	flat_nuclear	piqa	87.59521218715996	1838
Qwen3-8B	magicoder	43	flat_nuclear	siqa	75.1279426816786	1954
Qwen3-8B	magicoder	43	flat_nuclear	winogrande	65.03551696921863	1267
Qwen3-8B	magicoder	43	dg_hard	arc_challenge	90.52901023890784	1172
Qwen3-8B	magicoder	43	dg_hard	arc_easy	96.88552188552188	2376
Qwen3-8B	magicoder	43	dg_hard	boolq	87.33944954128441	3270
Qwen3-8B	magicoder	43	dg_hard	hellaswag	84.26608245369448	10042
Qwen3-8B	magicoder	43	dg_hard	openbookqa	84.0	500
Qwen3-8B	magicoder	43	dg_hard	piqa	87.48639825897715	1838
Qwen3-8B	magicoder	43	dg_hard	siqa	75.5885363357216	1954
Qwen3-8B	magicoder	43	dg_hard	winogrande	64.32517758484609	1267
Qwen3-8B	magicoder	43	hns_f4_s1	arc_challenge	88.05460750853243	1172
Qwen3-8B	magicoder	43	hns_f4_s1	arc_easy	95.70707070707071	2376
Qwen3-8B	magicoder	43	hns_f4_s1	boolq	87.24770642201834	3270
Qwen3-8B	magicoder	43	hns_f4_s1	hellaswag	84.5947022505477	10042
Qwen3-8B	magicoder	43	hns_f4_s1	openbookqa	84.2	500
Qwen3-8B	magicoder	43	hns_f4_s1	piqa	87.59521218715996	1838
Qwen3-8B	magicoder	43	hns_f4_s1	siqa	75.1279426816786	1954
Qwen3-8B	magicoder	43	hns_f4_s1	winogrande	65.03551696921863	1267
Qwen3-8B	metamath	43	original_lora	arc_challenge	88.90784982935153	1172
Qwen3-8B	metamath	43	original_lora	arc_easy	96.17003367003367	2376
Qwen3-8B	metamath	43	original_lora	boolq	88.31804281345566	3270
Qwen3-8B	metamath	43	original_lora	hellaswag	82.42381995618403	10042
Qwen3-8B	metamath	43	original_lora	openbookqa	84.6	500
Qwen3-8B	metamath	43	original_lora	piqa	85.74537540805223	1838
Qwen3-8B	metamath	43	original_lora	siqa	74.71852610030706	1954
Qwen3-8B	metamath	43	original_lora	winogrande	66.4561957379637	1267
Qwen3-8B	metamath	43	flat_fro	arc_challenge	91.46757679180887	1172
Qwen3-8B	metamath	43	flat_fro	arc_easy	96.92760942760943	2376
Qwen3-8B	metamath	43	flat_fro	boolq	87.92048929663608	3270
Qwen3-8B	metamath	43	flat_fro	hellaswag	84.36566421031667	10042
Qwen3-8B	metamath	43	flat_fro	openbookqa	86.6	500
Qwen3-8B	metamath	43	flat_fro	piqa	87.10554951033733	1838
Qwen3-8B	metamath	43	flat_fro	siqa	75.53735926305015	1954
Qwen3-8B	metamath	43	flat_fro	winogrande	67.5611681136543	1267
Qwen3-8B	metamath	43	flat_nuclear	arc_challenge	91.46757679180887	1172
Qwen3-8B	metamath	43	flat_nuclear	arc_easy	96.67508417508418	2376
Qwen3-8B	metamath	43	flat_nuclear	boolq	88.07339449541286	3270
Qwen3-8B	metamath	43	flat_nuclear	hellaswag	84.44532961561441	10042
Qwen3-8B	metamath	43	flat_nuclear	openbookqa	86.6	500
Qwen3-8B	metamath	43	flat_nuclear	piqa	87.26877040261154	1838
Qwen3-8B	metamath	43	flat_nuclear	siqa	75.48618219037871	1954
Qwen3-8B	metamath	43	flat_nuclear	winogrande	67.16653512233623	1267
Qwen3-8B	metamath	43	dg_hard	arc_challenge	88.90784982935153	1172
Qwen3-8B	metamath	43	dg_hard	arc_easy	96.17003367003367	2376
Qwen3-8B	metamath	43	dg_hard	boolq	88.31804281345566	3270
Qwen3-8B	metamath	43	dg_hard	hellaswag	82.42381995618403	10042
Qwen3-8B	metamath	43	dg_hard	openbookqa	84.6	500
Qwen3-8B	metamath	43	dg_hard	piqa	85.74537540805223	1838
Qwen3-8B	metamath	43	dg_hard	siqa	74.71852610030706	1954
Qwen3-8B	metamath	43	dg_hard	winogrande	66.4561957379637	1267
Qwen3-8B	metamath	43	hns_f4_s1	arc_challenge	91.55290102389078	1172
Qwen3-8B	metamath	43	hns_f4_s1	arc_easy	96.88552188552188	2376
Qwen3-8B	metamath	43	hns_f4_s1	boolq	87.92048929663608	3270
Qwen3-8B	metamath	43	hns_f4_s1	hellaswag	84.54491137223661	10042
Qwen3-8B	metamath	43	hns_f4_s1	openbookqa	86.4	500
Qwen3-8B	metamath	43	hns_f4_s1	piqa	87.15995647442872	1838
Qwen3-8B	metamath	43	hns_f4_s1	siqa	75.5885363357216	1954
Qwen3-8B	metamath	43	hns_f4_s1	winogrande	67.48224151539068	1267
Qwen3-8B	tulu	43	original_lora	arc_challenge	90.18771331058021	1172
Qwen3-8B	tulu	43	original_lora	arc_easy	96.92760942760943	2376
Qwen3-8B	tulu	43	original_lora	boolq	86.97247706422019	3270
Qwen3-8B	tulu	43	original_lora	hellaswag	84.05696076478789	10042
Qwen3-8B	tulu	43	original_lora	openbookqa	85.6	500
Qwen3-8B	tulu	43	original_lora	piqa	87.05114254624591	1838
Qwen3-8B	tulu	43	original_lora	siqa	75.89559877175026	1954
Qwen3-8B	tulu	43	original_lora	winogrande	69.37647987371744	1267
Qwen3-8B	tulu	43	flat_fro	arc_challenge	90.78498293515358	1172
Qwen3-8B	tulu	43	flat_fro	arc_easy	96.96969696969697	2376
Qwen3-8B	tulu	43	flat_fro	boolq	86.94189602446482	3270
Qwen3-8B	tulu	43	flat_fro	hellaswag	84.60466042620992	10042
Qwen3-8B	tulu	43	flat_fro	openbookqa	85.8	500
Qwen3-8B	tulu	43	flat_fro	piqa	86.94232861806312	1838
Qwen3-8B	tulu	43	flat_fro	siqa	76.25383828045035	1954
Qwen3-8B	tulu	43	flat_fro	winogrande	68.03472770323599	1267
Qwen3-8B	tulu	43	flat_nuclear	arc_challenge	91.21160409556313	1172
Qwen3-8B	tulu	43	flat_nuclear	arc_easy	97.05387205387206	2376
Qwen3-8B	tulu	43	flat_nuclear	boolq	86.81957186544342	3270
Qwen3-8B	tulu	43	flat_nuclear	hellaswag	84.50507866958773	10042
Qwen3-8B	tulu	43	flat_nuclear	openbookqa	85.8	500
Qwen3-8B	tulu	43	flat_nuclear	piqa	87.15995647442872	1838
Qwen3-8B	tulu	43	flat_nuclear	siqa	76.3050153531218	1954
Qwen3-8B	tulu	43	flat_nuclear	winogrande	68.27150749802684	1267
Qwen3-8B	tulu	43	dg_hard	arc_challenge	90.18771331058021	1172
Qwen3-8B	tulu	43	dg_hard	arc_easy	96.92760942760943	2376
Qwen3-8B	tulu	43	dg_hard	boolq	86.97247706422019	3270
Qwen3-8B	tulu	43	dg_hard	hellaswag	84.05696076478789	10042
Qwen3-8B	tulu	43	dg_hard	openbookqa	85.6	500
Qwen3-8B	tulu	43	dg_hard	piqa	87.05114254624591	1838
Qwen3-8B	tulu	43	dg_hard	siqa	75.89559877175026	1954
Qwen3-8B	tulu	43	dg_hard	winogrande	69.37647987371744	1267
Qwen3-8B	tulu	43	hns_f4_s1	arc_challenge	91.21160409556313	1172
Qwen3-8B	tulu	43	hns_f4_s1	arc_easy	96.96969696969697	2376
Qwen3-8B	tulu	43	hns_f4_s1	boolq	86.94189602446482	3270
Qwen3-8B	tulu	43	hns_f4_s1	hellaswag	84.53495319657439	10042
Qwen3-8B	tulu	43	hns_f4_s1	openbookqa	85.6	500
Qwen3-8B	tulu	43	hns_f4_s1	piqa	87.26877040261154	1838
Qwen3-8B	tulu	43	hns_f4_s1	siqa	76.3050153531218	1954
Qwen3-8B	tulu	43	hns_f4_s1	winogrande	68.03472770323599	1267
Qwen3-8B	magicoder	44	original_lora	arc_challenge	90.69965870307168	1172
Qwen3-8B	magicoder	44	original_lora	arc_easy	96.88552188552188	2376
Qwen3-8B	magicoder	44	original_lora	boolq	87.1559633027523	3270
Qwen3-8B	magicoder	44	original_lora	hellaswag	84.22624975104561	10042
Qwen3-8B	magicoder	44	original_lora	openbookqa	83.0	500
Qwen3-8B	magicoder	44	original_lora	piqa	87.15995647442872	1838
Qwen3-8B	magicoder	44	original_lora	siqa	75.48618219037871	1954
Qwen3-8B	magicoder	44	original_lora	winogrande	63.85161799526441	1267
Qwen3-8B	magicoder	44	flat_fro	arc_challenge	90.35836177474403	1172
Qwen3-8B	magicoder	44	flat_fro	arc_easy	96.12794612794613	2376
Qwen3-8B	magicoder	44	flat_fro	boolq	87.18654434250764	3270
Qwen3-8B	magicoder	44	flat_fro	hellaswag	84.72415853415654	10042
Qwen3-8B	magicoder	44	flat_fro	openbookqa	85.2	500
Qwen3-8B	magicoder	44	flat_fro	piqa	87.32317736670294	1838
Qwen3-8B	magicoder	44	flat_fro	siqa	75.63971340839304	1954
Qwen3-8B	magicoder	44	flat_fro	winogrande	64.87766377269139	1267
Qwen3-8B	magicoder	44	flat_nuclear	arc_challenge	88.22525597269625	1172
Qwen3-8B	magicoder	44	flat_nuclear	arc_easy	95.7912457912458	2376
Qwen3-8B	magicoder	44	flat_nuclear	boolq	87.43119266055047	3270
Qwen3-8B	magicoder	44	flat_nuclear	hellaswag	84.54491137223661	10042
Qwen3-8B	magicoder	44	flat_nuclear	openbookqa	84.39999999999999	500
Qwen3-8B	magicoder	44	flat_nuclear	piqa	87.75843307943417	1838
Qwen3-8B	magicoder	44	flat_nuclear	siqa	75.07676560900717	1954
Qwen3-8B	magicoder	44	flat_nuclear	winogrande	65.19337016574586	1267
Qwen3-8B	magicoder	44	dg_hard	arc_challenge	90.69965870307168	1172
Qwen3-8B	magicoder	44	dg_hard	arc_easy	96.88552188552188	2376
Qwen3-8B	magicoder	44	dg_hard	boolq	87.1559633027523	3270
Qwen3-8B	magicoder	44	dg_hard	hellaswag	84.22624975104561	10042
Qwen3-8B	magicoder	44	dg_hard	openbookqa	83.0	500
Qwen3-8B	magicoder	44	dg_hard	piqa	87.15995647442872	1838
Qwen3-8B	magicoder	44	dg_hard	siqa	75.48618219037871	1954
Qwen3-8B	magicoder	44	dg_hard	winogrande	63.85161799526441	1267
Qwen3-8B	magicoder	44	hns_f4_s1	arc_challenge	88.22525597269625	1172
Qwen3-8B	magicoder	44	hns_f4_s1	arc_easy	95.7912457912458	2376
Qwen3-8B	magicoder	44	hns_f4_s1	boolq	87.18654434250764	3270
Qwen3-8B	magicoder	44	hns_f4_s1	hellaswag	84.66440948018324	10042
Qwen3-8B	magicoder	44	hns_f4_s1	openbookqa	84.2	500
Qwen3-8B	magicoder	44	hns_f4_s1	piqa	87.75843307943417	1838
Qwen3-8B	magicoder	44	hns_f4_s1	siqa	75.23029682702149	1954
Qwen3-8B	magicoder	44	hns_f4_s1	winogrande	64.79873717442779	1267
Qwen3-8B	metamath	44	original_lora	arc_challenge	88.48122866894198	1172
Qwen3-8B	metamath	44	original_lora	arc_easy	95.95959595959596	2376
Qwen3-8B	metamath	44	original_lora	boolq	88.1651376146789	3270
Qwen3-8B	metamath	44	original_lora	hellaswag	82.36407090221071	10042
Qwen3-8B	metamath	44	original_lora	openbookqa	84.8	500
Qwen3-8B	metamath	44	original_lora	piqa	84.87486398258977	1838
Qwen3-8B	metamath	44	original_lora	siqa	74.56499488229274	1954
Qwen3-8B	metamath	44	original_lora	winogrande	64.48303078137332	1267
Qwen3-8B	metamath	44	flat_fro	arc_challenge	91.46757679180887	1172
Qwen3-8B	metamath	44	flat_fro	arc_easy	96.67508417508418	2376
Qwen3-8B	metamath	44	flat_fro	boolq	87.76758409785933	3270
Qwen3-8B	metamath	44	flat_fro	hellaswag	84.17645887273451	10042
Qwen3-8B	metamath	44	flat_fro	openbookqa	86.4	500
Qwen3-8B	metamath	44	flat_fro	piqa	86.6158868335147	1838
Qwen3-8B	metamath	44	flat_fro	siqa	75.02558853633572	1954
Qwen3-8B	metamath	44	flat_fro	winogrande	67.08760852407262	1267
Qwen3-8B	metamath	44	flat_nuclear	arc_challenge	91.55290102389078	1172
Qwen3-8B	metamath	44	flat_nuclear	arc_easy	96.71717171717171	2376
Qwen3-8B	metamath	44	flat_nuclear	boolq	87.4006116207951	3270
Qwen3-8B	metamath	44	flat_nuclear	hellaswag	84.35570603465446	10042
Qwen3-8B	metamath	44	flat_nuclear	openbookqa	86.8	500
Qwen3-8B	metamath	44	flat_nuclear	piqa	87.05114254624591	1838
Qwen3-8B	metamath	44	flat_nuclear	siqa	75.33265097236438	1954
Qwen3-8B	metamath	44	flat_nuclear	winogrande	66.77190213101815	1267
Qwen3-8B	metamath	44	dg_hard	arc_challenge	88.48122866894198	1172
Qwen3-8B	metamath	44	dg_hard	arc_easy	95.95959595959596	2376
Qwen3-8B	metamath	44	dg_hard	boolq	88.1651376146789	3270
Qwen3-8B	metamath	44	dg_hard	hellaswag	82.36407090221071	10042
Qwen3-8B	metamath	44	dg_hard	openbookqa	84.8	500
Qwen3-8B	metamath	44	dg_hard	piqa	84.87486398258977	1838
Qwen3-8B	metamath	44	dg_hard	siqa	74.56499488229274	1954
Qwen3-8B	metamath	44	dg_hard	winogrande	64.48303078137332	1267
Qwen3-8B	metamath	44	hns_f4_s1	arc_challenge	91.72354948805462	1172
Qwen3-8B	metamath	44	hns_f4_s1	arc_easy	96.71717171717171	2376
Qwen3-8B	metamath	44	hns_f4_s1	boolq	87.37003058103976	3270
Qwen3-8B	metamath	44	hns_f4_s1	hellaswag	84.35570603465446	10042
Qwen3-8B	metamath	44	hns_f4_s1	openbookqa	86.4	500
Qwen3-8B	metamath	44	hns_f4_s1	piqa	87.05114254624591	1838
Qwen3-8B	metamath	44	hns_f4_s1	siqa	75.33265097236438	1954
Qwen3-8B	metamath	44	hns_f4_s1	winogrande	66.92975532754538	1267
Qwen3-8B	tulu	44	original_lora	arc_challenge	90.35836177474403	1172
Qwen3-8B	tulu	44	original_lora	arc_easy	96.67508417508418	2376
Qwen3-8B	tulu	44	original_lora	boolq	87.85932721712538	3270
Qwen3-8B	tulu	44	original_lora	hellaswag	83.48934475204143	10042
Qwen3-8B	tulu	44	original_lora	openbookqa	86.0	500
Qwen3-8B	tulu	44	original_lora	piqa	86.28944504896626	1838
Qwen3-8B	tulu	44	original_lora	siqa	76.20266120777892	1954
Qwen3-8B	tulu	44	original_lora	winogrande	68.03472770323599	1267
Qwen3-8B	tulu	44	flat_fro	arc_challenge	90.69965870307168	1172
Qwen3-8B	tulu	44	flat_fro	arc_easy	96.8013468013468	2376
Qwen3-8B	tulu	44	flat_fro	boolq	87.5229357798165	3270
Qwen3-8B	tulu	44	flat_fro	hellaswag	84.37562238597889	10042
Qwen3-8B	tulu	44	flat_fro	openbookqa	86.4	500
Qwen3-8B	tulu	44	flat_fro	piqa	87.05114254624591	1838
Qwen3-8B	tulu	44	flat_fro	siqa	76.20266120777892	1954
Qwen3-8B	tulu	44	flat_fro	winogrande	67.32438831886346	1267
Qwen3-8B	tulu	44	flat_nuclear	arc_challenge	90.95563139931741	1172
Qwen3-8B	tulu	44	flat_nuclear	arc_easy	96.84343434343434	2376
Qwen3-8B	tulu	44	flat_nuclear	boolq	87.33944954128441	3270
Qwen3-8B	tulu	44	flat_nuclear	hellaswag	84.3855805616411	10042
Qwen3-8B	tulu	44	flat_nuclear	openbookqa	86.0	500
Qwen3-8B	tulu	44	flat_nuclear	piqa	87.21436343852012	1838
Qwen3-8B	tulu	44	flat_nuclear	siqa	76.10030706243603	1954
Qwen3-8B	tulu	44	flat_nuclear	winogrande	67.24546172059985	1267
Qwen3-8B	tulu	44	dg_hard	arc_challenge	90.35836177474403	1172
Qwen3-8B	tulu	44	dg_hard	arc_easy	96.67508417508418	2376
Qwen3-8B	tulu	44	dg_hard	boolq	87.85932721712538	3270
Qwen3-8B	tulu	44	dg_hard	hellaswag	83.48934475204143	10042
Qwen3-8B	tulu	44	dg_hard	openbookqa	86.0	500
Qwen3-8B	tulu	44	dg_hard	piqa	86.28944504896626	1838
Qwen3-8B	tulu	44	dg_hard	siqa	76.20266120777892	1954
Qwen3-8B	tulu	44	dg_hard	winogrande	68.03472770323599	1267
Qwen3-8B	tulu	44	hns_f4_s1	arc_challenge	90.95563139931741	1172
Qwen3-8B	tulu	44	hns_f4_s1	arc_easy	96.88552188552188	2376
Qwen3-8B	tulu	44	hns_f4_s1	boolq	87.37003058103976	3270
Qwen3-8B	tulu	44	hns_f4_s1	hellaswag	84.37562238597889	10042
Qwen3-8B	tulu	44	hns_f4_s1	openbookqa	85.8	500
Qwen3-8B	tulu	44	hns_f4_s1	piqa	87.26877040261154	1838
Qwen3-8B	tulu	44	hns_f4_s1	siqa	76.10030706243603	1954
Qwen3-8B	tulu	44	hns_f4_s1	winogrande	67.5611681136543	1267
Llama-3.1-8B-Instruct	base		base	arc_challenge	73.37883959044369	1172
Llama-3.1-8B-Instruct	base		base	arc_easy	88.13131313131312	2376
Llama-3.1-8B-Instruct	base		base	boolq	85.71865443425077	3270
